Zeit,Schulart,Geschlecht,Schulabschluss,Anzahl
2009/10,Insgesamt,Männlich,Allgemeine Hochschulreife,119118
2009/10,Insgesamt,Weiblich,Allgemeine Hochschulreife,149076
2010/11,Insgesamt,Männlich,Allgemeine Hochschulreife,138966
2010/11,Insgesamt,Weiblich,Allgemeine Hochschulreife,172200
2011/12,Insgesamt,Männlich,Allgemeine Hochschulreife,138269
2011/12,Insgesamt,Weiblich,Allgemeine Hochschulreife,166903
2012/13,Insgesamt,Männlich,Allgemeine Hochschulreife,144817
2012/13,Insgesamt,Weiblich,Allgemeine Hochschulreife,174476
2013/14,Insgesamt,Männlich,Allgemeine Hochschulreife,127019
2013/14,Insgesamt,Weiblich,Allgemeine Hochschulreife,153471
2014/15,Insgesamt,Männlich,Allgemeine Hochschulreife,131115
2014/15,Insgesamt,Weiblich,Allgemeine Hochschulreife,156747
2015/16,Insgesamt,Männlich,Allgemeine Hochschulreife,135072
2015/16,Insgesamt,Weiblich,Allgemeine Hochschulreife,162095
2016/17,Insgesamt,Männlich,Allgemeine Hochschulreife,131138
2016/17,Insgesamt,Weiblich,Allgemeine Hochschulreife,156160
2017/18,Insgesamt,Männlich,Allgemeine Hochschulreife,128094
2017/18,Insgesamt,Weiblich,Allgemeine Hochschulreife,154455
2018/19,Insgesamt,Männlich,Allgemeine Hochschulreife,125055
2018/19,Insgesamt,Weiblich,Allgemeine Hochschulreife,152256
2019/20,Insgesamt,Männlich,Allgemeine Hochschulreife,111567
2019/20,Insgesamt,Weiblich,Allgemeine Hochschulreife,135669
2020/21,Insgesamt,Männlich,Allgemeine Hochschulreife,118152
2020/21,Insgesamt,Weiblich,Allgemeine Hochschulreife,145276
2021/22,Insgesamt,Männlich,Allgemeine Hochschulreife,115720
2021/22,Insgesamt,Weiblich,Allgemeine Hochschulreife,143624
2022/23,Insgesamt,Männlich,Allgemeine Hochschulreife,117636
2022/23,Insgesamt,Weiblich,Allgemeine Hochschulreife,141594
