Zeit,Schulart,Geschlecht,Schulabschluss,Anzahl
2009/10,Insgesamt,Männlich,Erster Schulabschluss,103904
2009/10,Insgesamt,Weiblich,Erster Schulabschluss,75849
2010/11,Insgesamt,Männlich,Erster Schulabschluss,97595
2010/11,Insgesamt,Weiblich,Erster Schulabschluss,71065
2011/12,Insgesamt,Männlich,Erster Schulabschluss,91714
2011/12,Insgesamt,Weiblich,Erster Schulabschluss,65784
2012/13,Insgesamt,Männlich,Erster Schulabschluss,88228
2012/13,Insgesamt,Weiblich,Erster Schulabschluss,63086
2013/14,Insgesamt,Männlich,Erster Schulabschluss,86078
2013/14,Insgesamt,Weiblich,Erster Schulabschluss,60571
2014/15,Insgesamt,Männlich,Erster Schulabschluss,82594
2014/15,Insgesamt,Weiblich,Erster Schulabschluss,57354
2015/16,Insgesamt,Männlich,Erster Schulabschluss,82366
2015/16,Insgesamt,Weiblich,Erster Schulabschluss,56877
2016/17,Insgesamt,Männlich,Erster Schulabschluss,80198
2016/17,Insgesamt,Weiblich,Erster Schulabschluss,54191
2017/18,Insgesamt,Männlich,Erster Schulabschluss,80940
2017/18,Insgesamt,Weiblich,Erster Schulabschluss,52578
2018/19,Insgesamt,Männlich,Erster Schulabschluss,79830
2018/19,Insgesamt,Weiblich,Erster Schulabschluss,52638
2019/20,Insgesamt,Männlich,Erster Schulabschluss,74604
2019/20,Insgesamt,Weiblich,Erster Schulabschluss,49083
2020/21,Insgesamt,Männlich,Erster Schulabschluss,73556
2020/21,Insgesamt,Weiblich,Erster Schulabschluss,48731
2021/22,Insgesamt,Männlich,Erster Schulabschluss,74198
2021/22,Insgesamt,Weiblich,Erster Schulabschluss,51026
2022/23,Insgesamt,Männlich,Erster Schulabschluss,76717
2022/23,Insgesamt,Weiblich,Erster Schulabschluss,53605
