Zeit,Schulart,Geschlecht,Schulabschluss,Anzahl
2009/10,Insgesamt,Männlich,Mittlerer Schulabschluss,176425
2009/10,Insgesamt,Weiblich,Mittlerer Schulabschluss,174431
2010/11,Insgesamt,Männlich,Mittlerer Schulabschluss,172048
2010/11,Insgesamt,Weiblich,Mittlerer Schulabschluss,167710
2011/12,Insgesamt,Männlich,Mittlerer Schulabschluss,174100
2011/12,Insgesamt,Weiblich,Mittlerer Schulabschluss,170427
2012/13,Insgesamt,Männlich,Mittlerer Schulabschluss,190976
2012/13,Insgesamt,Weiblich,Mittlerer Schulabschluss,186388
2013/14,Insgesamt,Männlich,Mittlerer Schulabschluss,191320
2013/14,Insgesamt,Weiblich,Mittlerer Schulabschluss,184471
2014/15,Insgesamt,Männlich,Mittlerer Schulabschluss,188949
2014/15,Insgesamt,Weiblich,Mittlerer Schulabschluss,181145
2015/16,Insgesamt,Männlich,Mittlerer Schulabschluss,189068
2015/16,Insgesamt,Weiblich,Mittlerer Schulabschluss,180162
2016/17,Insgesamt,Männlich,Mittlerer Schulabschluss,184039
2016/17,Insgesamt,Weiblich,Mittlerer Schulabschluss,172773
2017/18,Insgesamt,Männlich,Mittlerer Schulabschluss,177030
2017/18,Insgesamt,Weiblich,Mittlerer Schulabschluss,164574
2018/19,Insgesamt,Männlich,Mittlerer Schulabschluss,173385
2018/19,Insgesamt,Weiblich,Mittlerer Schulabschluss,164193
2019/20,Insgesamt,Männlich,Mittlerer Schulabschluss,171504
2019/20,Insgesamt,Weiblich,Mittlerer Schulabschluss,161535
2020/21,Insgesamt,Männlich,Mittlerer Schulabschluss,171479
2020/21,Insgesamt,Weiblich,Mittlerer Schulabschluss,162661
2021/22,Insgesamt,Männlich,Mittlerer Schulabschluss,169661
2021/22,Insgesamt,Weiblich,Mittlerer Schulabschluss,162150
2022/23,Insgesamt,Männlich,Mittlerer Schulabschluss,172566
2022/23,Insgesamt,Weiblich,Mittlerer Schulabschluss,163795
