Zeit,Schulart,Geschlecht,Schulabschluss,Anzahl
2009/10,Insgesamt,Männlich,Ohne Ersten Schulabschluss,32351
2009/10,Insgesamt,Weiblich,Ohne Ersten Schulabschluss,20707
2010/11,Insgesamt,Männlich,Ohne Ersten Schulabschluss,29874
2010/11,Insgesamt,Weiblich,Ohne Ersten Schulabschluss,19686
2011/12,Insgesamt,Männlich,Ohne Ersten Schulabschluss,28731
2011/12,Insgesamt,Weiblich,Ohne Ersten Schulabschluss,18917
2012/13,Insgesamt,Männlich,Ohne Ersten Schulabschluss,27829
2012/13,Insgesamt,Weiblich,Ohne Ersten Schulabschluss,18466
2013/14,Insgesamt,Männlich,Ohne Ersten Schulabschluss,28348
2013/14,Insgesamt,Weiblich,Ohne Ersten Schulabschluss,18602
2014/15,Insgesamt,Männlich,Ohne Ersten Schulabschluss,29087
2014/15,Insgesamt,Weiblich,Ohne Ersten Schulabschluss,18348
2015/16,Insgesamt,Männlich,Ohne Ersten Schulabschluss,30444
2015/16,Insgesamt,Weiblich,Ohne Ersten Schulabschluss,18749
2016/17,Insgesamt,Männlich,Ohne Ersten Schulabschluss,32853
2016/17,Insgesamt,Weiblich,Ohne Ersten Schulabschluss,19827
2017/18,Insgesamt,Männlich,Ohne Ersten Schulabschluss,33573
2017/18,Insgesamt,Weiblich,Ohne Ersten Schulabschluss,20025
2018/19,Insgesamt,Männlich,Ohne Ersten Schulabschluss,33177
2018/19,Insgesamt,Weiblich,Ohne Ersten Schulabschluss,19653
2019/20,Insgesamt,Männlich,Ohne Ersten Schulabschluss,27933
2019/20,Insgesamt,Weiblich,Ohne Ersten Schulabschluss,17139
2020/21,Insgesamt,Männlich,Ohne Ersten Schulabschluss,29428
2020/21,Insgesamt,Weiblich,Ohne Ersten Schulabschluss,18062
2021/22,Insgesamt,Männlich,Ohne Ersten Schulabschluss,32190
2021/22,Insgesamt,Weiblich,Ohne Ersten Schulabschluss,20077
2022/23,Insgesamt,Männlich,Ohne Ersten Schulabschluss,33665
2022/23,Insgesamt,Weiblich,Ohne Ersten Schulabschluss,22043
