Zeit,Schulart,Geschlecht,Schulabschluss,Anzahl
2009/10,Gymnasien (G8),Insgesamt,Ohne Ersten Schulabschluss,578
2010/11,Gymnasien (G8),Insgesamt,Ohne Ersten Schulabschluss,737
2011/12,Gymnasien (G8),Insgesamt,Ohne Ersten Schulabschluss,786
2012/13,Gymnasien (G8),Insgesamt,Ohne Ersten Schulabschluss,862
2013/14,Gymnasien (G8),Insgesamt,Ohne Ersten Schulabschluss,1245
2014/15,Gymnasien (G8),Insgesamt,Ohne Ersten Schulabschluss,1021
2015/16,Gymnasien (G8),Insgesamt,Ohne Ersten Schulabschluss,1148
2016/17,Gymnasien (G8),Insgesamt,Ohne Ersten Schulabschluss,1768
2017/18,Gymnasien (G8),Insgesamt,Ohne Ersten Schulabschluss,1809
2018/19,Gymnasien (G8),Insgesamt,Ohne Ersten Schulabschluss,1224
2019/20,Gymnasien (G8),Insgesamt,Ohne Ersten Schulabschluss,837
2020/21,Gymnasien (G8),Insgesamt,Ohne Ersten Schulabschluss,1271
2021/22,Gymnasien (G8),Insgesamt,Ohne Ersten Schulabschluss,932
2022/23,Gymnasien (G8),Insgesamt,Ohne Ersten Schulabschluss,731
