Zeit,Schulart,Geschlecht,Schulabschluss,Anzahl
2009/10,Hauptschulen,Insgesamt,Ohne Ersten Schulabschluss,13374
2010/11,Hauptschulen,Insgesamt,Ohne Ersten Schulabschluss,11533
2011/12,Hauptschulen,Insgesamt,Ohne Ersten Schulabschluss,11031
2012/13,Hauptschulen,Insgesamt,Ohne Ersten Schulabschluss,9775
2013/14,Hauptschulen,Insgesamt,Ohne Ersten Schulabschluss,9425
2014/15,Hauptschulen,Insgesamt,Ohne Ersten Schulabschluss,8611
2015/16,Hauptschulen,Insgesamt,Ohne Ersten Schulabschluss,9806
2016/17,Hauptschulen,Insgesamt,Ohne Ersten Schulabschluss,10065
2017/18,Hauptschulen,Insgesamt,Ohne Ersten Schulabschluss,9228
2018/19,Hauptschulen,Insgesamt,Ohne Ersten Schulabschluss,8283
2019/20,Hauptschulen,Insgesamt,Ohne Ersten Schulabschluss,6060
2020/21,Hauptschulen,Insgesamt,Ohne Ersten Schulabschluss,6576
2021/22,Hauptschulen,Insgesamt,Ohne Ersten Schulabschluss,6934
2022/23,Hauptschulen,Insgesamt,Ohne Ersten Schulabschluss,7085
