Zeit,Schulart,Geschlecht,Schulabschluss,Anzahl
2009/10,Realschulen,Insgesamt,Ohne Ersten Schulabschluss,2590
2010/11,Realschulen,Insgesamt,Ohne Ersten Schulabschluss,2298
2011/12,Realschulen,Insgesamt,Ohne Ersten Schulabschluss,2317
2012/13,Realschulen,Insgesamt,Ohne Ersten Schulabschluss,2043
2013/14,Realschulen,Insgesamt,Ohne Ersten Schulabschluss,1636
2014/15,Realschulen,Insgesamt,Ohne Ersten Schulabschluss,1607
2015/16,Realschulen,Insgesamt,Ohne Ersten Schulabschluss,1628
2016/17,Realschulen,Insgesamt,Ohne Ersten Schulabschluss,2950
2017/18,Realschulen,Insgesamt,Ohne Ersten Schulabschluss,2757
2018/19,Realschulen,Insgesamt,Ohne Ersten Schulabschluss,2535
2019/20,Realschulen,Insgesamt,Ohne Ersten Schulabschluss,1362
2020/21,Realschulen,Insgesamt,Ohne Ersten Schulabschluss,1882
2021/22,Realschulen,Insgesamt,Ohne Ersten Schulabschluss,2332
2022/23,Realschulen,Insgesamt,Ohne Ersten Schulabschluss,2697
