Zeit,Schulart,Geschlecht,Schulabschluss,Anzahl
2009/10,Schularten mit drei Bildungsgängen,Insgesamt,Ohne Ersten Schulabschluss,2747
2010/11,Schularten mit drei Bildungsgängen,Insgesamt,Ohne Ersten Schulabschluss,2651
2011/12,Schularten mit drei Bildungsgängen,Insgesamt,Ohne Ersten Schulabschluss,2812
2012/13,Schularten mit drei Bildungsgängen,Insgesamt,Ohne Ersten Schulabschluss,3455
2013/14,Schularten mit drei Bildungsgängen,Insgesamt,Ohne Ersten Schulabschluss,4821
2014/15,Schularten mit drei Bildungsgängen,Insgesamt,Ohne Ersten Schulabschluss,5492
2015/16,Schularten mit drei Bildungsgängen,Insgesamt,Ohne Ersten Schulabschluss,6161
2016/17,Schularten mit drei Bildungsgängen,Insgesamt,Ohne Ersten Schulabschluss,7188
2017/18,Schularten mit drei Bildungsgängen,Insgesamt,Ohne Ersten Schulabschluss,8577
2018/19,Schularten mit drei Bildungsgängen,Insgesamt,Ohne Ersten Schulabschluss,9933
2019/20,Schularten mit drei Bildungsgängen,Insgesamt,Ohne Ersten Schulabschluss,8778
2020/21,Schularten mit drei Bildungsgängen,Insgesamt,Ohne Ersten Schulabschluss,8821
2021/22,Schularten mit drei Bildungsgängen,Insgesamt,Ohne Ersten Schulabschluss,10604
2022/23,Schularten mit drei Bildungsgängen,Insgesamt,Ohne Ersten Schulabschluss,11985
