Zeit,Geschlecht,Abschlussart,Anzahl
2009/10,Männlich,Fachhochschulreife,67930
2009/10,Männlich,Hauptschulabschluss,21538
2009/10,Männlich,Hochschulreife,23120
2009/10,Männlich,Mittlerer Schulabschluss,47091
2010/11,Männlich,Fachhochschulreife,70837
2010/11,Männlich,Hauptschulabschluss,20702
2010/11,Männlich,Hochschulreife,23488
2010/11,Männlich,Mittlerer Schulabschluss,45007
2011/12,Männlich,Fachhochschulreife,69649
2011/12,Männlich,Hauptschulabschluss,19482
2011/12,Männlich,Hochschulreife,24595
2011/12,Männlich,Mittlerer Schulabschluss,44820
2012/13,Männlich,Fachhochschulreife,55748
2012/13,Männlich,Hauptschulabschluss,19488
2012/13,Männlich,Hochschulreife,24889
2012/13,Männlich,Mittlerer Schulabschluss,51757
2013/14,Männlich,Fachhochschulreife,54030
2013/14,Männlich,Hauptschulabschluss,18742
2013/14,Männlich,Hochschulreife,24629
2013/14,Männlich,Mittlerer Schulabschluss,39525
2014/15,Männlich,Fachhochschulreife,53936
2014/15,Männlich,Hauptschulabschluss,19114
2014/15,Männlich,Hochschulreife,25248
2014/15,Männlich,Mittlerer Schulabschluss,37983
2015/16,Männlich,Fachhochschulreife,52066
2015/16,Männlich,Hauptschulabschluss,21818
2015/16,Männlich,Hochschulreife,26246
2015/16,Männlich,Mittlerer Schulabschluss,38055
2016/17,Männlich,Fachhochschulreife,49104
2016/17,Männlich,Hauptschulabschluss,28956
2016/17,Männlich,Hochschulreife,26506
2016/17,Männlich,Mittlerer Schulabschluss,35699
2017/18,Männlich,Fachhochschulreife,47985
2017/18,Männlich,Hauptschulabschluss,35739
2017/18,Männlich,Hochschulreife,25569
2017/18,Männlich,Mittlerer Schulabschluss,33945
2018/19,Männlich,Fachhochschulreife,44163
2018/19,Männlich,Hauptschulabschluss,30801
2018/19,Männlich,Hochschulreife,24453
2018/19,Männlich,Mittlerer Schulabschluss,33153
2019/20,Männlich,Fachhochschulreife,41289
2019/20,Männlich,Hauptschulabschluss,30225
2019/20,Männlich,Hochschulreife,23724
2019/20,Männlich,Mittlerer Schulabschluss,35718
2020/21,Männlich,Fachhochschulreife,39888
2020/21,Männlich,Hauptschulabschluss,26325
2020/21,Männlich,Hochschulreife,22398
2020/21,Männlich,Mittlerer Schulabschluss,34694
2021/22,Männlich,Fachhochschulreife,38772
2021/22,Männlich,Hauptschulabschluss,23751
2021/22,Männlich,Hochschulreife,21200
2021/22,Männlich,Mittlerer Schulabschluss,34824
2022/23,Männlich,Fachhochschulreife,36068
2022/23,Männlich,Hauptschulabschluss,24791
2022/23,Männlich,Hochschulreife,21155
2022/23,Männlich,Mittlerer Schulabschluss,32409
