Zeit,Geschlecht,Abschlussart,Anzahl
2009/10,Weiblich,Fachhochschulreife,61248
2009/10,Weiblich,Hauptschulabschluss,13014
2009/10,Weiblich,Hochschulreife,24909
2009/10,Weiblich,Mittlerer Schulabschluss,48124
2010/11,Weiblich,Fachhochschulreife,62156
2010/11,Weiblich,Hauptschulabschluss,12554
2010/11,Weiblich,Hochschulreife,25717
2010/11,Weiblich,Mittlerer Schulabschluss,44611
2011/12,Weiblich,Fachhochschulreife,60805
2011/12,Weiblich,Hauptschulabschluss,12312
2011/12,Weiblich,Hochschulreife,27317
2011/12,Weiblich,Mittlerer Schulabschluss,42685
2012/13,Weiblich,Fachhochschulreife,48392
2012/13,Weiblich,Hauptschulabschluss,11968
2012/13,Weiblich,Hochschulreife,27630
2012/13,Weiblich,Mittlerer Schulabschluss,50121
2013/14,Weiblich,Fachhochschulreife,47312
2013/14,Weiblich,Hauptschulabschluss,11749
2013/14,Weiblich,Hochschulreife,27953
2013/14,Weiblich,Mittlerer Schulabschluss,38847
2014/15,Weiblich,Fachhochschulreife,48233
2014/15,Weiblich,Hauptschulabschluss,11669
2014/15,Weiblich,Hochschulreife,29174
2014/15,Weiblich,Mittlerer Schulabschluss,36590
2015/16,Weiblich,Fachhochschulreife,46851
2015/16,Weiblich,Hauptschulabschluss,12232
2015/16,Weiblich,Hochschulreife,31010
2015/16,Weiblich,Mittlerer Schulabschluss,36762
2016/17,Weiblich,Fachhochschulreife,45790
2016/17,Weiblich,Hauptschulabschluss,13472
2016/17,Weiblich,Hochschulreife,32035
2016/17,Weiblich,Mittlerer Schulabschluss,33399
2017/18,Weiblich,Fachhochschulreife,45054
2017/18,Weiblich,Hauptschulabschluss,16074
2017/18,Weiblich,Hochschulreife,31173
2017/18,Weiblich,Mittlerer Schulabschluss,31581
2018/19,Weiblich,Fachhochschulreife,42771
2018/19,Weiblich,Hauptschulabschluss,17367
2018/19,Weiblich,Hochschulreife,30396
2018/19,Weiblich,Mittlerer Schulabschluss,31020
2019/20,Weiblich,Fachhochschulreife,40134
2019/20,Weiblich,Hauptschulabschluss,17949
2019/20,Weiblich,Hochschulreife,29199
2019/20,Weiblich,Mittlerer Schulabschluss,32997
2020/21,Weiblich,Fachhochschulreife,39265
2020/21,Weiblich,Hauptschulabschluss,16035
2020/21,Weiblich,Hochschulreife,28256
2020/21,Weiblich,Mittlerer Schulabschluss,32378
2021/22,Weiblich,Fachhochschulreife,37875
2021/22,Weiblich,Hauptschulabschluss,15145
2021/22,Weiblich,Hochschulreife,27634
2021/22,Weiblich,Mittlerer Schulabschluss,30988
2022/23,Weiblich,Fachhochschulreife,36280
2022/23,Weiblich,Hauptschulabschluss,16612
2022/23,Weiblich,Hochschulreife,27248
2022/23,Weiblich,Mittlerer Schulabschluss,28174
