Zeit,Abschlussart,Geschlecht,Anzahl
2009/10,Fachhochschulreife,Insgesamt,129178
2009/10,Hochschulreife,Insgesamt,48029
2010/11,Fachhochschulreife,Insgesamt,132993
2010/11,Hochschulreife,Insgesamt,49205
2011/12,Fachhochschulreife,Insgesamt,130454
2011/12,Hochschulreife,Insgesamt,51912
2012/13,Fachhochschulreife,Insgesamt,104140
2012/13,Hochschulreife,Insgesamt,52519
2013/14,Fachhochschulreife,Insgesamt,101342
2013/14,Hochschulreife,Insgesamt,52582
2014/15,Fachhochschulreife,Insgesamt,102169
2014/15,Hochschulreife,Insgesamt,54422
2015/16,Fachhochschulreife,Insgesamt,98917
2015/16,Hochschulreife,Insgesamt,57256
2016/17,Fachhochschulreife,Insgesamt,94894
2016/17,Hochschulreife,Insgesamt,58541
2017/18,Fachhochschulreife,Insgesamt,93039
2017/18,Hochschulreife,Insgesamt,56742
2018/19,Fachhochschulreife,Insgesamt,86934
2018/19,Hochschulreife,Insgesamt,54849
2019/20,Fachhochschulreife,Insgesamt,81423
2019/20,Hochschulreife,Insgesamt,52923
2020/21,Fachhochschulreife,Insgesamt,79153
2020/21,Hochschulreife,Insgesamt,50654
2021/22,Fachhochschulreife,Insgesamt,76647
2021/22,Hochschulreife,Insgesamt,48834
2022/23,Fachhochschulreife,Insgesamt,72348
2022/23,Hochschulreife,Insgesamt,48403
