Zeit,Geschlecht,Anzahl
2009/10,Insgesamt,2121178
2009/10,Männlich,1106450
2009/10,Weiblich,1014728
2010/11,Insgesamt,2217294
2010/11,Männlich,1157485
2010/11,Weiblich,1059809
2011/12,Insgesamt,2380974
2011/12,Männlich,1255372
2011/12,Weiblich,1125602
2012/13,Insgesamt,2499409
2012/13,Männlich,1314017
2012/13,Weiblich,1185392
2013/14,Insgesamt,2616881
2013/14,Männlich,1371640
2013/14,Weiblich,1245241
2014/15,Insgesamt,2698910
2014/15,Männlich,1408534
2014/15,Weiblich,1290376
2015/16,Insgesamt,2757799
2015/16,Männlich,1434126
2015/16,Weiblich,1323673
2016/17,Insgesamt,2807010
2016/17,Männlich,1453625
2016/17,Weiblich,1353385
2017/18,Insgesamt,2844978
2017/18,Männlich,1464643
2017/18,Weiblich,1380335
2018/19,Insgesamt,2868222
2018/19,Männlich,1465978
2018/19,Weiblich,1402244
2019/20,Insgesamt,2891049
2019/20,Männlich,1464867
2019/20,Weiblich,1426182
2020/21,Insgesamt,2944145
2020/21,Männlich,1476366
2020/21,Weiblich,1467779
2021/22,Insgesamt,2941915
2021/22,Männlich,1466282
2021/22,Weiblich,1475633
2022/23,Insgesamt,2920263
2022/23,Männlich,1444125
2022/23,Weiblich,1476138
2023/24,Insgesamt,2868311
2023/24,Männlich,1407830
2023/24,Weiblich,1460481
2024/25,Insgesamt,2864122
2024/25,Männlich,1398631
2024/25,Weiblich,1465491
