Jahr,Quartal,Average of Prozent,Altersgruppe
2019,Qtr 2,"10,38",18-29
2019,Qtr 2,"11,00",30-44
2019,Qtr 2,"11,30",45-64
2019,Qtr 2,"8,15",65+
2019,Qtr 3,"11,15",18-29
2019,Qtr 3,"10,78",30-44
2019,Qtr 3,"12,28",45-64
2019,Qtr 3,"8,31",65+
2019,Qtr 4,"12,00",18-29
2019,Qtr 4,"10,43",30-44
2019,Qtr 4,"12,25",45-64
2019,Qtr 4,"8,53",65+
2020,Qtr 1,"12,50",18-29
2020,Qtr 1,"9,77",30-44
2020,Qtr 1,"11,33",45-64
2020,Qtr 1,"8,86",65+
2020,Qtr 2,"12,33",18-29
2020,Qtr 2,"9,26",30-44
2020,Qtr 2,"10,71",45-64
2020,Qtr 2,"9,36",65+
2020,Qtr 3,"11,95",18-29
2020,Qtr 3,"9,48",30-44
2020,Qtr 3,"10,92",45-64
2020,Qtr 3,"10,03",65+
2020,Qtr 4,"11,85",18-29
2020,Qtr 4,"10,59",30-44
2020,Qtr 4,"11,70",45-64
2020,Qtr 4,"10,92",65+
2021,Qtr 1,"12,13",18-29
2021,Qtr 1,"11,79",30-44
2021,Qtr 1,"12,35",45-64
2021,Qtr 1,"11,98",65+
2021,Qtr 2,"12,71",18-29
2021,Qtr 2,"12,31",30-44
2021,Qtr 2,"12,85",45-64
2021,Qtr 2,"13,16",65+
2021,Qtr 3,"13,70",18-29
2021,Qtr 3,"12,18",30-44
2021,Qtr 3,"13,77",45-64
2021,Qtr 3,"14,54",65+
2021,Qtr 4,"14,91",18-29
2021,Qtr 4,"12,15",30-44
2021,Qtr 4,"15,44",45-64
2021,Qtr 4,"15,90",65+
2022,Qtr 1,"16,45",18-29
2022,Qtr 1,"12,98",30-44
2022,Qtr 1,"17,45",45-64
2022,Qtr 1,"17,07",65+
2022,Qtr 2,"18,87",18-29
2022,Qtr 2,"14,80",30-44
2022,Qtr 2,"19,04",45-64
2022,Qtr 2,"17,98",65+
2022,Qtr 3,"21,47",18-29
2022,Qtr 3,"17,02",30-44
2022,Qtr 3,"19,62",45-64
2022,Qtr 3,"18,54",65+
2022,Qtr 4,"21,94",18-29
2022,Qtr 4,"18,37",30-44
2022,Qtr 4,"19,81",45-64
2022,Qtr 4,"18,83",65+
2023,Qtr 1,"20,13",18-29
2023,Qtr 1,"18,20",30-44
2023,Qtr 1,"20,60",45-64
2023,Qtr 1,"19,02",65+
2023,Qtr 2,"18,64",18-29
2023,Qtr 2,"17,33",30-44
2023,Qtr 2,"22,11",45-64
2023,Qtr 2,"19,29",65+
2023,Qtr 3,"19,20",18-29
2023,Qtr 3,"16,86",30-44
2023,Qtr 3,"23,29",45-64
2023,Qtr 3,"19,64",65+
2023,Qtr 4,"21,23",18-29
2023,Qtr 4,"16,82",30-44
2023,Qtr 4,"23,19",45-64
2023,Qtr 4,"19,82",65+
2024,Qtr 1,"21,88",18-29
2024,Qtr 1,"16,47",30-44
2024,Qtr 1,"21,83",45-64
2024,Qtr 1,"19,55",65+
2024,Qtr 2,"20,15",18-29
2024,Qtr 2,"15,60",30-44
2024,Qtr 2,"19,83",45-64
2024,Qtr 2,"18,83",65+
2024,Qtr 3,"17,99",18-29
2024,Qtr 3,"14,66",30-44
2024,Qtr 3,"17,78",45-64
2024,Qtr 3,"17,89",65+
