Jahr,Quartal,Average of Prozent,Altersgruppe
2021,Qtr 1,"50,56",18-29
2021,Qtr 1,"50,46",30-44
2021,Qtr 1,"48,31",45-64
2021,Qtr 1,"33,78",65+
2021,Qtr 2,"45,29",18-29
2021,Qtr 2,"50,80",30-44
2021,Qtr 2,"46,67",45-64
2021,Qtr 2,"33,03",65+
2021,Qtr 3,"43,11",18-29
2021,Qtr 3,"50,59",30-44
2021,Qtr 3,"43,59",45-64
2021,Qtr 3,"31,70",65+
2021,Qtr 4,"49,74",18-29
2021,Qtr 4,"49,11",30-44
2021,Qtr 4,"40,71",45-64
2021,Qtr 4,"30,48",65+
2022,Qtr 1,"51,12",18-29
2022,Qtr 1,"47,43",30-44
2022,Qtr 1,"38,96",45-64
2022,Qtr 1,"29,44",65+
2022,Qtr 2,"46,68",18-29
2022,Qtr 2,"45,06",30-44
2022,Qtr 2,"38,33",45-64
2022,Qtr 2,"28,56",65+
2022,Qtr 3,"43,40",18-29
2022,Qtr 3,"42,75",30-44
2022,Qtr 3,"38,25",45-64
2022,Qtr 3,"27,83",65+
2022,Qtr 4,"41,45",18-29
2022,Qtr 4,"42,70",30-44
2022,Qtr 4,"37,90",45-64
2022,Qtr 4,"27,28",65+
2023,Qtr 1,"40,64",18-29
2023,Qtr 1,"44,10",30-44
2023,Qtr 1,"37,16",45-64
2023,Qtr 1,"26,92",65+
2023,Qtr 2,"44,55",18-29
2023,Qtr 2,"43,59",30-44
2023,Qtr 2,"36,42",45-64
2023,Qtr 2,"26,79",65+
2023,Qtr 3,"47,58",18-29
2023,Qtr 3,"41,95",30-44
2023,Qtr 3,"36,23",45-64
2023,Qtr 3,"26,80",65+
2023,Qtr 4,"45,75",18-29
2023,Qtr 4,"42,27",30-44
2023,Qtr 4,"36,86",45-64
2023,Qtr 4,"26,85",65+
2024,Qtr 1,"45,13",18-29
2024,Qtr 1,"43,98",30-44
2024,Qtr 1,"37,84",45-64
2024,Qtr 1,"26,92",65+
2024,Qtr 2,"46,31",18-29
2024,Qtr 2,"44,56",30-44
2024,Qtr 2,"38,20",45-64
2024,Qtr 2,"27,01",65+
2024,Qtr 3,"43,51",18-29
2024,Qtr 3,"43,17",30-44
2024,Qtr 3,"37,60",45-64
2024,Qtr 3,"27,13",65+
