Tabelle: 13231-0002
Erwerbslose/Erwerbstätige/Erwerbspersonen: Deutschland,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monate, Geschlecht, Altersgruppen, Original- und bereinigte;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daten;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Erwerbslosenstatistik nach dem ILO-Konzept;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Erwerbslose (Mill.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Originalwerte;;;;;;;;;;;;;;;;;;X13 JDemetra+  Trend;;;;;;;;;;;;;;;;;;BV4.1 Trend;;;;;;;;;;;;;;;;;
;;männlich;;;;;;weiblich;;;;;;Insgesamt;;;;;;männlich;;;;;;weiblich;;;;;;Insgesamt;;;;;;männlich;;;;;;weiblich;;;;;;Insgesamt;;;;;
;;15 bis unter 25 Jahre;;25 bis unter 75 Jahre;;Insgesamt;;15 bis unter 25 Jahre;;25 bis unter 75 Jahre;;Insgesamt;;15 bis unter 25 Jahre;;25 bis unter 75 Jahre;;Insgesamt;;15 bis unter 25 Jahre;;25 bis unter 75 Jahre;;Insgesamt;;15 bis unter 25 Jahre;;25 bis unter 75 Jahre;;Insgesamt;;15 bis unter 25 Jahre;;25 bis unter 75 Jahre;;Insgesamt;;15 bis unter 25 Jahre;;25 bis unter 75 Jahre;;Insgesamt;;15 bis unter 25 Jahre;;25 bis unter 75 Jahre;;Insgesamt;;15 bis unter 25 Jahre;;25 bis unter 75 Jahre;;Insgesamt;
2010;Januar;0,32;r;1,42;r;1,75;r;0,22;r;1,06;r;1,28;r;0,54;r;2,48;r;3,03;r;0,31;p;1,33;p;1,64;p;0,22;p;1,01;p;1,23;p;0,53;p;2,33;p;2,87;p;0,31;p;1,34;p;1,65;p;0,22;p;1,00;p;1,22;p;0,53;p;2,34;p;2,87;p
;Februar;0,32;r;1,45;r;1,77;r;0,22;r;1,06;r;1,28;r;0,54;r;2,51;r;3,05;r;0,30;p;1,31;p;1,61;p;0,22;p;1,00;p;1,22;p;0,52;p;2,31;p;2,83;p;0,31;p;1,32;p;1,63;p;0,21;p;0,99;p;1,20;p;0,52;p;2,31;p;2,83;p
;März;0,32;r;1,38;r;1,71;r;0,19;r;0,98;r;1,17;r;0,51;r;2,36;r;2,88;r;0,30;p;1,29;p;1,59;p;0,21;p;0,99;p;1,20;p;0,51;p;2,28;p;2,79;p;0,30;p;1,30;p;1,60;p;0,21;p;0,98;p;1,18;p;0,51;p;2,28;p;2,79;p
;April;0,30;r;1,30;r;1,60;r;0,19;r;0,94;r;1,13;r;0,49;r;2,24;r;2,72;r;0,29;p;1,27;p;1,56;p;0,20;p;0,97;p;1,17;p;0,49;p;2,24;p;2,73;p;0,29;p;1,29;p;1,58;p;0,20;p;0,96;p;1,17;p;0,50;p;2,25;p;2,75;p
;Mai;0,21;r;1,25;r;1,46;r;0,19;r;0,96;r;1,15;r;0,40;r;2,20;r;2,61;r;0,28;p;1,25;p;1,53;p;0,20;p;0,95;p;1,14;p;0,48;p;2,20;p;2,68;p;0,28;p;1,27;p;1,55;p;0,20;p;0,95;p;1,15;p;0,48;p;2,22;p;2,70;p
;Juni;0,26;r;1,20;r;1,46;r;0,17;r;0,90;r;1,07;r;0,43;r;2,09;r;2,53;r;0,27;p;1,24;p;1,51;p;0,20;p;0,92;p;1,12;p;0,47;p;2,16;p;2,63;p;0,28;p;1,25;p;1,53;p;0,20;p;0,94;p;1,13;p;0,47;p;2,19;p;2,66;p
;Juli;0,28;r;1,21;r;1,50;r;0,22;r;0,88;r;1,10;r;0,50;r;2,09;r;2,60;r;0,26;p;1,22;p;1,49;p;0,19;p;0,91;p;1,10;p;0,46;p;2,13;p;2,59;p;0,27;p;1,23;p;1,50;p;0,19;p;0,92;p;1,12;p;0,46;p;2,15;p;2,62;p
;August;0,29;r;1,11;r;1,40;r;0,26;r;0,85;r;1,11;r;0,54;r;1,96;r;2,50;r;0,26;p;1,21;p;1,47;p;0,19;p;0,90;p;1,09;p;0,45;p;2,11;p;2,56;p;0,26;p;1,21;p;1,47;p;0,19;p;0,91;p;1,10;p;0,46;p;2,12;p;2,58;p
;September;0,26;r;1,14;r;1,40;r;0,18;r;0,89;r;1,07;r;0,44;r;2,03;r;2,47;r;0,25;p;1,20;p;1,46;p;0,19;p;0,90;p;1,09;p;0,44;p;2,10;p;2,54;p;0,26;p;1,19;p;1,45;p;0,19;p;0,90;p;1,09;p;0,45;p;2,09;p;2,54;p
;Oktober;0,23;r;1,13;r;1,36;r;0,18;r;0,93;r;1,11;r;0,41;r;2,06;r;2,47;r;0,25;p;1,19;p;1,44;p;0,19;p;0,90;p;1,09;p;0,44;p;2,09;p;2,52;p;0,25;p;1,17;p;1,42;p;0,19;p;0,89;p;1,08;p;0,44;p;2,06;p;2,50;p
;November;0,22;r;1,10;r;1,32;r;0,18;r;0,89;r;1,07;r;0,40;r;1,99;r;2,39;r;0,25;p;1,17;p;1,42;p;0,19;p;0,89;p;1,08;p;0,43;p;2,06;p;2,50;p;0,25;p;1,15;p;1,40;p;0,19;p;0,88;p;1,07;p;0,44;p;2,03;p;2,47;p
;Dezember;0,22;r;1,18;r;1,39;r;0,16;r;0,91;r;1,07;r;0,38;r;2,08;r;2,46;r;0,24;p;1,15;p;1,39;p;0,19;p;0,89;p;1,07;p;0,43;p;2,03;p;2,46;p;0,25;p;1,13;p;1,37;p;0,19;p;0,87;p;1,06;p;0,43;p;2,00;p;2,43;p
2011;Januar;0,23;r;1,27;r;1,49;r;0,18;r;0,91;r;1,09;r;0,40;r;2,18;r;2,58;r;0,24;p;1,12;p;1,36;p;0,19;p;0,87;p;1,06;p;0,43;p;1,99;p;2,41;p;0,24;p;1,11;p;1,35;p;0,19;p;0,86;p;1,04;p;0,43;p;1,97;p;2,39;p
;Februar;0,27;r;1,12;r;1,40;r;0,19;r;0,89;r;1,08;r;0,46;r;2,01;r;2,47;r;0,24;p;1,08;p;1,32;p;0,19;p;0,85;p;1,04;p;0,43;p;1,94;p;2,36;p;0,24;p;1,08;p;1,33;p;0,19;p;0,85;p;1,04;p;0,43;p;1,94;p;2,36;p
;März;0,27;r;1,13;r;1,40;r;0,19;r;0,85;r;1,04;r;0,46;r;1,98;r;2,43;r;0,24;p;1,06;p;1,29;p;0,19;p;0,84;p;1,02;p;0,42;p;1,89;p;2,32;p;0,24;p;1,06;p;1,30;p;0,18;p;0,84;p;1,03;p;0,42;p;1,91;p;2,33;p
;April;0,22;r;1,05;r;1,27;r;0,16;r;0,78;r;0,94;r;0,38;r;1,84;r;2,21;r;0,24;p;1,03;p;1,27;p;0,18;p;0,83;p;1,01;p;0,42;p;1,86;p;2,28;p;0,24;p;1,05;p;1,28;p;0,18;p;0,83;p;1,02;p;0,42;p;1,88;p;2,30;p
