Neu abgeschlossene Ausbildungsverträge;;;Ausbildungsplätze Angebot / Nachfrage;;;;;;
;;Insgesamt;Für das 1. Ausbildungsjahr;Mit verkürzter Ausbildung;Unbesetzte Ausbildungsplätze;Unversorgte Bewerber / -innen ohne Alternative;Bewerber / -innen mit Alternative;Ausbildungsplatzangebot ;Ausbildungsplatznachfrage 
Deutschland;Jahr;Tsd.;;;Tsd.;;;;
Länder insgesamt;1975;462;402;60;18,2;23,5;m;480,2;m
;1980;650;528,3;121,7;44,6;17,3;m;694,6;m
;1985;697,1;546,8;150,3;22;58,9;m;719,1;m
;1990;545,6;435,7;109,5;113,9;14;m;659,4;m
;1991;539,5;434,7;105,6;128,5;11,2;m;668;m
;1992;595,2;487,9;107,2;126,6;13;m;721,8;m
;1993;570,1;471,9;98,2;85,7;17,8;m;655,9;m
;1994;568,1;478,8;89,3;54,2;19;m;622,2;m
;1995;572,8;484,3;88,4;44,2;25;m;617;m
;1996;574,3;483,1;91,3;34,9;38,5;m;609,3;m
;1997;587,5;496,4;91,1;25,9;47,4;m;613,4;m
;1998;612,5;522,3;90,4;23,4;35,7;m;635,9;m
;1999;631;539,9;91,1;23,4;29,4;m;654,5;m
;2000;621,7;527,4;94,3;25,7;23,6;m;647,4;m
;2001;614,2;517,6;96,6;24,5;20,5;m;638,8;m
;2002;572,3;480,2;92,1;18;23,4;m;590,3;m
;2003;557,6;468,8;88,8;14,8;35;m;572,5;m
;2004;573;486,2;86,8;13,4;44,1;m;586,4;m
;2005;550,2;465,7;84,5;12,6;40,5;m;562,8;m
;2006;576,2;486,3;89,9;15,4;49,5;m;591,6;m
;2007;625,9;531,6;94,3;18,4;32,7;97,9;644,2;756,5
;2008;616,3;518,5;97,8;19,5;14,5;81,7;635,8;712,6
;2009;564,3;472;92,3;17,1;15,7;77;581,4;657
;2010;560;470,2;89,8;19,5;12,2;72,3;579,5;644,5
;2011;569,4;478,4;91;29,6;11,3;60,8;598,9;641,5
;2012;551,3;463,7;87,5;33,2;15,6;60,3;584,4;627,2
;2013;529,5;444,4;85,1;33,7;20,8;62,4;563,2;612,8
;2014;523,2;440;83,2;37;20,7;60,2;560,2;604,1
;2015;522,2;440,9;81,2;41,5;20,8;60,2;563,7;603,1
;2016;520,3;442,1;78,2;43,5;20,5;60;563,7;600,8
;2017;523,3;446,2;77,1;48,9;23,7;56,5;572,2;603,5
;2018;531,4;453,7;77,7;57,6;24,5;54,1;589,1;610
;2019;525;448,4;76,6;53,1;24,4;49,2;578,2;598,6
;2020;467,5;396,9;70,6;59,9;29,2;48,8;527,4;545,4
;2021;473,1;403,8;69,3;63,2;24,5;43,2;536,2;540,7
;2022;475,1;409,5;65,6;68,9;22,5;37,7;544;535,3
;2023;489,2;422,8;66,4;73,4;25,9;37,2;562,6;552,3
;2024;486,7;421,1;65,6;69,4;30,2;38,9;556,1;555,8
Jahr;Land;Tsd.;;;Tsd.;;;;
2024;Baden-Württemberg;70;56,1;13,9;12,5;1,5;4,7;82,5;76,2
;Bayern;85,6;73,1;12,5;17,1;1,5;4,4;102,7;91,5
;Berlin;14,6;12,5;2,1;1,1;3,5;0,9;15,7;18,9
;Brandenburg;11;10;1,1;2,2;1,4;0,8;13,2;13,2
;Bremen;5,5;4,9;0,6;0,4;0,4;0,5;5,9;6,4
;Hamburg;11,9;10,7;1,2;1,2;1;0,8;13,1;13,7
;Hessen;34,8;30,9;3,8;4,4;2,4;3,4;39,1;40,5
;Mecklenburg-Vorpommern;8,3;7,6;0,7;1,2;0,5;0,7;9,5;9,5
;Niedersachsen;50,2;41,9;8,3;4,6;3,4;5,3;54,8;58,9
;Nordrhein-Westfalen;106,8;93,6;13,2;12,4;9,7;10,8;119,2;127,3
;Rheinland-Pfalz;23;20,4;2,6;3,4;1,5;2,1;26,3;26,5
;Saarland;5,9;5;0,9;0,7;0,1;0,7;6,6;6,7
;Sachsen;20,3;19,1;1,2;2,3;1;1,5;22,6;22,8
;Sachsen-Anhalt;10,5;9,8;0,7;1,3;0,4;0,5;11,8;11,5
;Schleswig-Holstein;17,8;15,7;2,1;3,3;1,7;1,4;21,1;20,9
;Thüringen;10,5;9,8;0,7;1,4;0,4;0,4;11,9;11,3
;;;;;;;;;
;;;;;;;;;
Tabelle 2.4.28 - Datenportal des BMFTR;;;;;;;;;
m = Daten nicht verfügbar.;;;;;;;;;
