;WSI GenderDatenPortal ;;;;;;;;;;;;;;;;;;;;
;Bereich: Erwerbsarbeit;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Anteil der befristet beschäftigten Frauen und Männer an den zivilen abhängig Beschäftigten1) nach Altersgruppen in Deutschland (1991-2022), in Prozent;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;Frauen;;;;;;Männer;;;;;;Insgesamt;;;;;;;
;Jahr;im Alter von … bis unter … Jahren;;;;;;im Alter von … bist unter … Jahren ;;;;;;;;;;;;;
;;15-25;25-35;35-45;45-55;55-65;Gesamt 15-65;15-25;25-35;35-45;45-55;55-65;Gesamt 15-65;15-65;;;;;;;
;1991;8,9;7,9;6,4;5,6;5,0;6,9;13,3;7,3;3,9;3,6;3,9;5,8;6,3;;;;;;;
;1992;9,5;7,9;6,6;5,8;5,0;7,1;13,9;7,7;4,4;3,8;3,2;6,0;6,5;;;;;;;
;1993;8,6;7,2;5,9;5,1;4,2;6,3;14,1;7,2;4,0;3,6;3,0;5,6;5,9;;;;;;;
;1994;10,5;7,7;6,3;5,2;5,0;6,8;15,6;7,2;3,9;3,5;3,7;5,8;6,2;;;;;;;
;1995;11,8;8,1;6,6;5,4;5,4;7,2;16,9;7,8;4,3;3,9;3,9;6,2;6,6;;;;;;;
;1996;11,5;7,7;6,1;4,9;4,6;6,6;17,5;7,9;4,4;3,6;4,3;6,2;6,4;;;;;;;
;1997;14,5;8,3;6,2;4,3;4,7;6,9;21,2;8,5;4,3;3,6;4,2;6,5;6,7;;;;;;;
;1998;15,6;8,7;6,2;4,3;4,1;7,0;23,7;9,1;4,8;3,6;3,8;6,8;6,9;;;;;;;
;1999;19,4;9,7;7,3;5,1;4,6;8,1;24,8;10,0;5,4;4,3;4,5;7,5;7,8;;;;;;;
;2000;18,8;9,5;7,1;5,1;4,7;7,9;23,5;10,0;5,1;4,2;4,5;7,3;7,6;;;;;;;
;2001;18,4;9,2;6,8;5,1;4,5;7,6;24,3;9,9;4,9;4,1;4,4;7,2;7,4;;;;;;;
;2002;18,2;9,1;6,1;4,6;4,3;7,1;23,9;9,6;4,5;3,5;4,8;6,8;6,9;;;;;;;
