Schuljahr;Schulart;Schulabschluss;Geschlecht;Anzahl
2009/10;Hauptschulen;Ohne Ersten Schulabschluss;männlich;8261
2009/10;Hauptschulen;Erster Schulabschluss;männlich;66891
2009/10;Hauptschulen;Mittlerer Schulabschluss;männlich;22318
2009/10;Hauptschulen;Fachhochschulreife;männlich;0
2009/10;Hauptschulen;Allgemeine Hochschulreife;männlich;0
2009/10;Hauptschulen;Insgesamt;männlich;97470
2009/10;Schularten mit zwei Bildungsgängen;Ohne Ersten Schulabschluss;männlich;1984
2009/10;Schularten mit zwei Bildungsgängen;Erster Schulabschluss;männlich;8728
2009/10;Schularten mit zwei Bildungsgängen;Mittlerer Schulabschluss;männlich;19444
2009/10;Schularten mit zwei Bildungsgängen;Fachhochschulreife;männlich;0
2009/10;Schularten mit zwei Bildungsgängen;Allgemeine Hochschulreife;männlich;0
2009/10;Schularten mit zwei Bildungsgängen;Insgesamt;männlich;30156
2009/10;Realschulen;Ohne Ersten Schulabschluss;männlich;1588
2009/10;Realschulen;Erster Schulabschluss;männlich;5202
2009/10;Realschulen;Mittlerer Schulabschluss;männlich;99577
2009/10;Realschulen;Fachhochschulreife;männlich;0
2009/10;Realschulen;Allgemeine Hochschulreife;männlich;0
2009/10;Realschulen;Insgesamt;männlich;106367
2009/10;Gymnasien (G9);Ohne Ersten Schulabschluss;männlich;23
2009/10;Gymnasien (G9);Erster Schulabschluss;männlich;405
2009/10;Gymnasien (G9);Mittlerer Schulabschluss;männlich;8951
2009/10;Gymnasien (G9);Fachhochschulreife;männlich;3569
2009/10;Gymnasien (G9);Allgemeine Hochschulreife;männlich;94013
2009/10;Gymnasien (G9);Insgesamt;männlich;106961
2009/10;Gymnasien (G8);Ohne Ersten Schulabschluss;männlich;332
2009/10;Gymnasien (G8);Erster Schulabschluss;männlich;1915
2009/10;Gymnasien (G8);Mittlerer Schulabschluss;männlich;3860
2009/10;Gymnasien (G8);Fachhochschulreife;männlich;416
2009/10;Gymnasien (G8);Allgemeine Hochschulreife;männlich;11974
2009/10;Gymnasien (G8);Insgesamt;männlich;18497
2009/10;Schularten mit drei Bildungsgängen;Ohne Ersten Schulabschluss;männlich;1571
2009/10;Schularten mit drei Bildungsgängen;Erster Schulabschluss;männlich;9974
2009/10;Schularten mit drei Bildungsgängen;Mittlerer Schulabschluss;männlich;17111
2009/10;Schularten mit drei Bildungsgängen;Fachhochschulreife;männlich;1115
2009/10;Schularten mit drei Bildungsgängen;Allgemeine Hochschulreife;männlich;9131
2009/10;Schularten mit drei Bildungsgängen;Insgesamt;männlich;38902
2009/10;Freie Waldorfschulen;Ohne Ersten Schulabschluss;männlich;83
2009/10;Freie Waldorfschulen;Erster Schulabschluss;männlich;190
2009/10;Freie Waldorfschulen;Mittlerer Schulabschluss;männlich;900
2009/10;Freie Waldorfschulen;Fachhochschulreife;männlich;226
2009/10;Freie Waldorfschulen;Allgemeine Hochschulreife;männlich;1229
2009/10;Freie Waldorfschulen;Insgesamt;männlich;2628
2009/10;Förderschulen;Ohne Ersten Schulabschluss;männlich;18509
