Jahr;Geschlecht;Abschlussart;Anzahl
2010;Gesamt;Alle;306974
2010;Männlich;Alle;159679
2010;Weiblich;Alle;147295
2010;Gesamt;Hauptschulabschluss;34552
2010;Männlich;Hauptschulabschluss;21538
2010;Weiblich;Hauptschulabschluss;13014
2010;Gesamt;Mittlererschulabschluss;95215
2010;Männlich;Mittlererschulabschluss;47091
2010;Weiblich;Mittlererschulabschluss;48124
2010;Gesamt;Fachhochschulreife;129178
2010;Männlich;Fachhochschulreife;67930
2010;Weiblich;Fachhochschulreife;61248
2010;Gesamt;Hochschulreife;48029
2010;Männlich;Hochschulreife;23120
2010;Weiblich;Hochschulreife;24909
2010;Gesamt;zus-erw_Fachhochsreife;0
2010;Männlich;zus_erw_Fachhochsreife;0
2010;Weiblich;zus_erw_Fachhochsreife;0
2011;Gesamt;Alle;305072
2011;Männlich;Alle;160034
2011;Weiblich;Alle;145038
2011;Gesamt;Hauptschulabschluss;33256
2011;Männlich;Hauptschulabschluss;20702
2011;Weiblich;Hauptschulabschluss;12554
2011;Gesamt;Mittlererschulabschluss;89618
2011;Männlich;Mittlererschulabschluss;45007
2011;Weiblich;Mittlererschulabschluss;44611
2011;Gesamt;Fachhochschulreife;132993
2011;Männlich;Fachhochschulreife;70837
2011;Weiblich;Fachhochschulreife;62156
2011;Gesamt;Hochschulreife;49205
2011;Männlich;Hochschulreife;23488
2011;Weiblich;Hochschulreife;25717
2011;Gesamt;zus-erw_Fachhochsreife;0
2011;Männlich;zus_erw_Fachhochsreife;0
2011;Weiblich;zus_erw_Fachhochsreife;0
2012;Gesamt;Alle;301665
2012;Männlich;Alle;158546
2012;Weiblich;Alle;143119
2012;Gesamt;Hauptschulabschluss;31794
2012;Männlich;Hauptschulabschluss;19482
2012;Weiblich;Hauptschulabschluss;12312
2012;Gesamt;Mittlererschulabschluss;87505
2012;Männlich;Mittlererschulabschluss;44820
2012;Weiblich;Mittlererschulabschluss;42685
2012;Gesamt;Fachhochschulreife;130454
2012;Männlich;Fachhochschulreife;69649
2012;Weiblich;Fachhochschulreife;60805
2012;Gesamt;Hochschulreife;51912
2012;Männlich;Hochschulreife;24595
2012;Weiblich;Hochschulreife;27317
2012;Gesamt;zus-erw_Fachhochsreife;0
2012;Männlich;zus_erw_Fachhochsreife;0
2012;Weiblich;zus_erw_Fachhochsreife;0
2013;Gesamt;Alle;289993
2013;Männlich;Alle;151882
2013;Weiblich;Alle;138111
2013;Gesamt;Hauptschulabschluss;31456
2013;Männlich;Hauptschulabschluss;19488
2013;Weiblich;Hauptschulabschluss;11968
2013;Gesamt;Mittlererschulabschluss;101878
2013;Männlich;Mittlererschulabschluss;51757
2013;Weiblich;Mittlererschulabschluss;50121
