Semester;Geschlecht;Wert;Prozent
WS 2009/10;Männlich;185197;50.15
WS 2009/10;Weiblich;184076;49.85
WS 2009/10;Insgesamt;369273;0.0
WS 2010/11;Männlich;195591;50.55
WS 2010/11;Weiblich;191330;49.45
WS 2010/11;Insgesamt;386921;0.0
WS 2011/12;Männlich;237706;53.38
WS 2011/12;Weiblich;207614;46.62
WS 2011/12;Insgesamt;445320;0.0
WS 2012/13;Männlich;217089;50.74
WS 2012/13;Weiblich;210736;49.26
WS 2012/13;Insgesamt;427825;0.0
WS 2013/14;Männlich;221770;50.53
WS 2013/14;Weiblich;217143;49.47
WS 2013/14;Insgesamt;438913;0.0
WS 2014/15;Männlich;217089;50.22
WS 2014/15;Weiblich;215191;49.78
WS 2014/15;Insgesamt;432280;0.0
WS 2015/16;Männlich;216507;50.05
WS 2015/16;Weiblich;216082;49.95
WS 2015/16;Insgesamt;432589;0.0
WS 2016/17;Männlich;216468;49.71
WS 2016/17;Weiblich;218959;50.29
WS 2016/17;Insgesamt;435427;0.0
WS 2017/18;Männlich;216000;49.34
WS 2017/18;Weiblich;221737;50.66
WS 2017/18;Insgesamt;437737;0.0
WS 2018/19;Männlich;212682;48.81
WS 2018/19;Weiblich;223049;51.19
WS 2018/19;Insgesamt;435731;0.0
WS 2019/20;Männlich;207633;48.39
WS 2019/20;Weiblich;221416;51.61
WS 2019/20;Insgesamt;429049;0.0
WS 2020/21;Männlich;199914;47.75
WS 2020/21;Weiblich;218783;52.25
WS 2020/21;Insgesamt;418697;0.0
WS 2021/22;Männlich;189927;47.98
WS 2021/22;Weiblich;205918;52.02
WS 2021/22;Insgesamt;395845;0.0
WS 2022/23;Männlich;190785;47.91
WS 2022/23;Weiblich;207459;52.09
WS 2022/23;Insgesamt;398244;0.0
WS 2023/24;Männlich;192968;47.67
WS 2023/24;Weiblich;211832;52.33
WS 2023/24;Insgesamt;404800;0.0
WS 2024/25;Männlich;196205;47.72
WS 2024/25;Weiblich;214919;52.28
WS 2024/25;Insgesamt;411124;0.0
