Datum;Wert;18-29;30-44;45-64;+65
18. März 2021;FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
18. März 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
18. März 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
25. März 2021;FIT;7.26604121062884;6.12639915595117;5.89735945874623;4.78220511097611
25. März 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
25. März 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
1. April 2021;FIT;7.37973869744236;6.17768325585847;5.96836791375703;4.81781782122251
1. April 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
1. April 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
8. April 2021;FIT;7.4977210686575;6.22993246262591;6.04100665696485;4.85391227210888
8. April 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
8. April 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
15. April 2021;FIT;7.62018787237036;6.28321026769251;6.11527291412066;4.8904813506517
15. April 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
15. April 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
22. April 2021;FIT;7.74731940269411;6.33759052163677;6.1911574767918;4.92751507019351
22. April 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
22. April 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
29. April 2021;FIT;7.87929577751422;6.39315052353934;6.26864701884506;4.96500238498182
29. April 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
29. April 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
6. Mai 2021;FIT;8.01631152887052;6.44997533141677;6.34772431762563;5.00293223886079
6. Mai 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
6. Mai 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
13. Mai 2021;FIT;8.15863682201808;6.50815845300306;6.42836892023464;5.04129489758361
13. Mai 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
13. Mai 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
20. Mai 2021;FIT;8.30677261504074;6.56779996247151;6.51055737127326;5.08008260384649
20. Mai 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
20. Mai 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
27. Mai 2021;FIT;8.4617856385514;6.62900234777812;6.59426102037967;5.11928746172325
27. Mai 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
27. Mai 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
3. Juni 2021;FIT;8.62593421854439;6.69187018583311;6.67944541607765;5.1589008098046
3. Juni 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
3. Juni 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
10. Juni 2021;FIT;8.80373512128998;6.75651109509589;6.76607027270476;5.19891318355928
10. Juni 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
10. Juni 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
17. Juni 2021;FIT;9.00353666485694;6.8230368315849;6.85408946148002;5.23931427791652
17. Juni 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
17. Juni 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
24. Juni 2021;FIT;9.23932258425127;6.89156454206395;6.94345102664793;5.28009291033385
24. Juni 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
24. Juni 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
1. Juli 2021;FIT;9.53172044244667;6.96221819358354;7.03409722752557;5.32123698464335
1. Juli 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
1. Juli 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
8. Juli 2021;FIT;9.90620557140911;7.03512940837399;7.12596660622108;5.36273535291547
8. Juli 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
8. Juli 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
15. Juli 2021;FIT;10.3865194644211;7.11043580239823;7.21900201805404;5.40458555325997
15. Juli 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
15. Juli 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
22. Juli 2021;FIT;10.983360631236;7.18828067689935;7.31315256343342;5.44679622272195
22. Juli 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
22. Juli 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
29. Juli 2021;FIT;11.6830371787287;7.2688131983809;7.40837330777846;5.48938749035303
29. Juli 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
29. Juli 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
5. August 2021;FIT;12.4440790739801;7.35218846911369;7.50462473869649;5.53239112116917
5. August 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
5. August 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
12. August 2021;FIT;13.2062089303984;7.43856741585515;7.60187196055508;5.57585040138488
12. August 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
12. August 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
19. August 2021;FIT;13.9070531952804;7.52811641725803;7.70008363904526;5.61981976393784
19. August 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
19. August 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
26. August 2021;FIT;14.4968831466368;7.62100658272531;7.79923071995745;5.66436416156596
26. August 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
26. August 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
2. September 2021;FIT;14.9453322097412;7.71741258762447;7.89928495675157;5.70955820212897
2. September 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
2. September 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
9. September 2021;FIT;15.2408260820086;7.81751096251326;8.00021729027852;5.75548506710543
9. September 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
9. September 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
16. September 2021;FIT;15.3867107436258;7.92147772850963;8.10199613097247;5.80223523896564
16. September 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
16. September 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
23. September 2021;FIT;15.3972365538425;8.02948526880737;8.20458559887029;5.84990506626211
23. September 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
23. September 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
30. September 2021;FIT;15.2944543312874;8.14169832981641;8.30794377989695;5.89859519675246
30. September 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
30. September 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
7. Oktober 2021;FIT;15.1056610521572;8.2582690572346;8.41202105803337;5.94840890875859
7. Oktober 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
7. Oktober 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
14. Oktober 2021;FIT;14.8607042528434;8.37933099571829;8.51675858234375;5.99945036945723
14. Oktober 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
14. Oktober 2021;Minimum FIT;7.15640747476994;6.07603042867679;5.82797639948897;4.74707693076208
21. Oktober 2021;FIT;14.5888853004363;8.50499201904948;8.62208692549667;6.05182284616726
21. Oktober 2021;Maximum Fit;24.4487349203578;18.317196053752;15.1705589007431;9.73821886385569
