Datum;Wert;18-29;30-44;45-64;+65
4. April 2019;FIT;10.066927127249;11.1852255409244;10.7739523336722;8.08132458537848
4. April 2019;Maximum Fit;22.2446164226171;18.5357385302436;23.4935384405225;19.8418845190469
4. April 2019;Minimum FIT;10.066927127249;9.18689401521845;10.644549818668;8.08132458537848
11. April 2019;FIT;10.1158688938347;11.1440999330612;10.8553361034302;8.0917756833896
11. April 2019;Maximum Fit;22.2446164226171;18.5357385302436;23.4935384405225;19.8418845190469
11. April 2019;Minimum FIT;10.066927127249;9.18689401521845;10.644549818668;8.08132458537848
18. April 2019;FIT;10.165430230317;11.1062845256712;10.9388920682331;8.10232614330643
18. April 2019;Maximum Fit;22.2446164226171;18.5357385302436;23.4935384405225;19.8418845190469
18. April 2019;Minimum FIT;10.066927127249;9.18689401521845;10.644549818668;8.08132458537848
25. April 2019;FIT;10.2156420358525;11.0717095607436;11.0245094439481;8.11297848175766
25. April 2019;Maximum Fit;22.2446164226171;18.5357385302436;23.4935384405225;19.8418845190469
25. April 2019;Minimum FIT;10.066927127249;9.18689401521845;10.644549818668;8.08132458537848
2. Mai 2019;FIT;10.2665446598123;11.0402653729913;11.1120027246255;8.12373651673705
2. Mai 2019;Maximum Fit;22.2446164226171;18.5357385302436;23.4935384405225;19.8418845190469
2. Mai 2019;Minimum FIT;10.066927127249;9.18689401521845;10.644549818668;8.08132458537848
9. Mai 2019;FIT;10.3181857715181;11.011806436796;11.2011122795108;8.13460541227646
9. Mai 2019;Maximum Fit;22.2446164226171;18.5357385302436;23.4935384405225;19.8418845190469
9. Mai 2019;Minimum FIT;10.066927127249;9.18689401521845;10.644549818668;8.08132458537848
16. Mai 2019;FIT;10.370618172684;10.9861551890297;11.2915059122778;8.14559170990929
16. Mai 2019;Maximum Fit;22.2446164226171;18.5357385302436;23.4935384405225;19.8418845190469
16. Mai 2019;Minimum FIT;10.066927127249;9.18689401521845;10.644549818668;8.08132458537848
23. Mai 2019;FIT;10.4238975705168;10.963105673471;11.3827815272772;8.15670334771926
23. Mai 2019;Maximum Fit;22.2446164226171;18.5357385302436;23.4935384405225;19.8418845190469
23. Mai 2019;Minimum FIT;10.066927127249;9.18689401521845;10.644549818668;8.08132458537848
30. Mai 2019;FIT;10.4780803309955;10.9424270515021;11.4744710292142;8.16794966779603
30. Mai 2019;Maximum Fit;22.2446164226171;18.5357385302436;23.4935384405225;19.8418845190469
30. Mai 2019;Minimum FIT;10.066927127249;9.18689401521845;10.644549818668;8.08132458537848
6. Juni 2019;FIT;10.5332212326891;10.9238670206987;11.5660455499847;8.17934141291599
6. Juni 2019;Maximum Fit;22.2446164226171;18.5357385302436;23.4935384405225;19.8418845190469
6. Juni 2019;Minimum FIT;10.066927127249;9.18689401521845;10.644549818668;8.08132458537848
13. Juni 2019;FIT;10.589371241576;10.9071551779181;11.6569220513003;8.19089071323245
13. Juni 2019;Maximum Fit;22.2446164226171;18.5357385302436;23.4935384405225;19.8418845190469
13. Juni 2019;Minimum FIT;10.066927127249;9.18689401521845;10.644549818668;8.08132458537848
20. Juni 2019;FIT;10.6465753270644;10.8920063568922;11.7464712970791;8.20261106371163
20. Juni 2019;Maximum Fit;22.2446164226171;18.5357385302436;23.4935384405225;19.8418845190469
20. Juni 2019;Minimum FIT;10.066927127249;9.18689401521845;10.644549818668;8.08132458537848
27. Juni 2019;FIT;10.7048703387838;10.8781239623051;11.8340271290341;8.21451729298595
27. Juni 2019;Maximum Fit;22.2446164226171;18.5357385302436;23.4935384405225;19.8418845190469
27. Juni 2019;Minimum FIT;10.066927127249;9.18689401521845;10.644549818668;8.08132458537848
4. Juli 2019;FIT;10.7642829630412;10.8652033133802;11.9188969168206;8.22662552422732
4. Juli 2019;Maximum Fit;22.2446164226171;18.5357385302436;23.4935384405225;19.8418845190469
4. Juli 2019;Minimum FIT;10.066927127249;9.18689401521845;10.644549818668;8.08132458537848
11. Juli 2019;FIT;10.8248277771592;10.8529350004299;12.0003729949306;8.23895312857057
11. Juli 2019;Maximum Fit;22.2446164226171;18.5357385302436;23.4935384405225;19.8418845190469
11. Juli 2019;Minimum FIT;10.066927127249;9.18689401521845;10.644549818668;8.08132458537848
18. Juli 2019;FIT;10.886505419446;10.841008248165;12.0777448466583;8.25151867155182
18. Juli 2019;Maximum Fit;22.2446164226171;18.5357385302436;23.4935384405225;19.8418845190469
18. Juli 2019;Minimum FIT;10.066927127249;9.18689401521845;10.644549818668;8.08132458537848
25. Juli 2019;FIT;10.9493008923105;10.8291142703176;12.1503117544655;8.26434185296537
25. Juli 2019;Maximum Fit;22.2446164226171;18.5357385302436;23.4935384405225;19.8418845190469
25. Juli 2019;Minimum FIT;10.066927127249;9.18689401521845;10.644549818668;8.08132458537848
1. August 2019;FIT;11.0131820162109;10.8169495917627;12.2173956086416;8.27744344049976
1. August 2019;Maximum Fit;22.2446164226171;18.5357385302436;23.4935384405225;19.8418845190469
1. August 2019;Minimum FIT;10.066927127249;9.18689401521845;10.644549818668;8.08132458537848
8. August 2019;FIT;11.0780980525673;10.8042193073223;12.2783535536103;8.29084519747784
8. August 2019;Maximum Fit;22.2446164226171;18.5357385302436;23.4935384405225;19.8418845190469
8. August 2019;Minimum FIT;10.066927127249;9.18689401521845;10.644549818668;8.08132458537848
15. August 2019;FIT;11.1439785146397;10.7906402411878;12.3325901536367;8.30456980501502
15. August 2019;Maximum Fit;22.2446164226171;18.5357385302436;23.4935384405225;19.8418845190469
15. August 2019;Minimum FIT;10.066927127249;9.18689401521845;10.644549818668;8.08132458537848
22. August 2019;FIT;11.2107321864579;10.7759439676862;12.3795687757892;8.3186407789113
22. August 2019;Maximum Fit;22.2446164226171;18.5357385302436;23.4935384405225;19.8418845190469
22. August 2019;Minimum FIT;10.066927127249;9.18689401521845;10.644549818668;8.08132458537848
29. August 2019;FIT;11.2782463711659;10.7598796531083;12.4188219156018;8.33308238161438
29. August 2019;Maximum Fit;22.2446164226171;18.5357385302436;23.4935384405225;19.8418845190469
29. August 2019;Minimum FIT;10.066927127249;9.18689401521845;10.644549818668;8.08132458537848
5. September 2019;FIT;11.346386391417;10.7422166795602;12.4499602271648;8.34791952963131
5. September 2019;Maximum Fit;22.2446164226171;18.5357385302436;23.4935384405225;19.8418845190469
5. September 2019;Minimum FIT;10.066927127249;9.18689401521845;10.644549818668;8.08132458537848
12. September 2019;FIT;11.4149953655693;10.7227470151286;12.4726800612402;8.36317769681881
12. September 2019;Maximum Fit;22.2446164226171;18.5357385302436;23.4935384405225;19.8418845190469
12. September 2019;Minimum FIT;10.066927127249;9.18689401521845;10.644549818668;8.08132458537848
19. September 2019;FIT;11.4838942841442;10.7012872998544;12.48676935968;8.37888281405114
19. September 2019;Maximum Fit;22.2446164226171;18.5357385302436;23.4935384405225;19.8418845190469
19. September 2019;Minimum FIT;10.066927127249;9.18689401521845;10.644549818668;8.08132458537848
26. September 2019;FIT;11.5528824111117;10.6776806236849;12.4921117995252;8.39506116584085
26. September 2019;Maximum Fit;22.2446164226171;18.5357385302436;23.4935384405225;19.8418845190469
26. September 2019;Minimum FIT;10.066927127249;9.18689401521845;10.644549818668;8.08132458537848
3. Oktober 2019;FIT;11.6217380338151;10.6517979802616;12.4886891240461;8.41173928457146
3. Oktober 2019;Maximum Fit;22.2446164226171;18.5357385302436;23.4935384405225;19.8418845190469
3. Oktober 2019;Minimum FIT;10.066927127249;9.18689401521845;10.644549818668;8.08132458537848
10. Oktober 2019;FIT;11.6902195835208;10.62353938862;12.4765816397797;8.42894384308616
10. Oktober 2019;Maximum Fit;22.2446164226171;18.5357385302436;23.4935384405225;19.8418845190469
