Datum;Wert;18-29;30-44;45-64;+65
18. März 2021;FIT;50.9490166115844;50.427785277008;48.4190381774939;33.8344583697988
18. März 2021;Maximum Fit;52.1126271566993;50.9603324863497;48.4190381774939;33.8344583697988
18. März 2021;Minimum FIT;40.1442405367005;41.669546201484;36.1640021626746;26.773233817454
25. März 2021;FIT;50.1641546512187;50.4829214682512;48.2025115641189;33.732798853404
25. März 2021;Maximum Fit;52.1126271566993;50.9603324863497;48.4190381774939;33.8344583697988
25. März 2021;Minimum FIT;40.1442405367005;41.669546201484;36.1640021626746;26.773233817454
1. April 2021;FIT;49.3713113000471;50.5381906320892;47.9861208457329;33.6311980050817
1. April 2021;Maximum Fit;52.1126271566993;50.9603324863497;48.4190381774939;33.8344583697988
1. April 2021;Minimum FIT;40.1442405367005;41.669546201484;36.1640021626746;26.773233817454
8. April 2021;FIT;48.5782253121849;50.5930869024337;47.7697360344678;33.5296691289557
8. April 2021;Maximum Fit;52.1126271566993;50.9603324863497;48.4190381774939;33.8344583697988
8. April 2021;Minimum FIT;40.1442405367005;41.669546201484;36.1640021626746;26.773233817454
15. April 2021;FIT;47.7940085037671;50.6469491681031;47.5531822716103;33.428230010807
15. April 2021;Maximum Fit;52.1126271566993;50.9603324863497;48.4190381774939;33.8344583697988
15. April 2021;Minimum FIT;40.1442405367005;41.669546201484;36.1640021626746;26.773233817454
22. April 2021;FIT;47.0284525719947;50.6990166114268;47.3362611820862;33.3269018252068
22. April 2021;Maximum Fit;52.1126271566993;50.9603324863497;48.4190381774939;33.8344583697988
22. April 2021;Minimum FIT;40.1442405367005;41.669546201484;36.1640021626746;26.773233817454
29. April 2021;FIT;46.2910885582415;50.7485068759904;47.1187755208382;33.2257068906031
29. April 2021;Maximum Fit;52.1126271566993;50.9603324863497;48.4190381774939;33.8344583697988
29. April 2021;Minimum FIT;40.1442405367005;41.669546201484;36.1640021626746;26.773233817454
6. Mai 2021;FIT;45.5909297507971;50.7946227250702;46.9005383868741;33.1246699667452
6. Mai 2021;Maximum Fit;52.1126271566993;50.9603324863497;48.4190381774939;33.8344583697988
6. Mai 2021;Minimum FIT;40.1442405367005;41.669546201484;36.1640021626746;26.773233817454
13. Mai 2021;FIT;44.9360713977309;50.8365794547162;46.6813859420881;33.0238183976337
13. Mai 2021;Maximum Fit;52.1126271566993;50.9603324863497;48.4190381774939;33.8344583697988
13. Mai 2021;Minimum FIT;40.1442405367005;41.669546201484;36.1640021626746;26.773233817454
20. Mai 2021;FIT;44.3333719518093;50.873629550604;46.4611841181214;32.9231813835486
20. Mai 2021;Maximum Fit;52.1126271566993;50.9603324863497;48.4190381774939;33.8344583697988
20. Mai 2021;Minimum FIT;40.1442405367005;41.669546201484;36.1640021626746;26.773233817454
27. Mai 2021;FIT;43.7885367172494;50.9050451899414;46.2398115532305;32.8227884196251
27. Mai 2021;Maximum Fit;52.1126271566993;50.9603324863497;48.4190381774939;33.8344583697988
27. Mai 2021;Minimum FIT;40.1442405367005;41.669546201484;36.1640021626746;26.773233817454
3. Juni 2021;FIT;43.3062111107131;50.9301133153692;46.0171553407016;32.7226689166654
3. Juni 2021;Maximum Fit;52.1126271566993;50.9603324863497;48.4190381774939;33.8344583697988
3. Juni 2021;Minimum FIT;40.1442405367005;41.669546201484;36.1640021626746;26.773233817454
10. Juni 2021;FIT;42.8901057825472;50.9481362954742;45.7931117850179;32.6228521929176
10. Juni 2021;Maximum Fit;52.1126271566993;50.9603324863497;48.4190381774939;33.8344583697988
10. Juni 2021;Minimum FIT;40.1442405367005;41.669546201484;36.1640021626746;26.773233817454
17. Juni 2021;FIT;42.5431775942341;50.9584318846573;45.5675872278737;32.5233674659743
17. Juni 2021;Maximum Fit;52.1126271566993;50.9603324863497;48.4190381774939;33.8344583697988
17. Juni 2021;Minimum FIT;40.1442405367005;41.669546201484;36.1640021626746;26.773233817454
24. Juni 2021;FIT;42.2678495417651;50.9603324863497;45.3404989453211;32.4242438448143
24. Juni 2021;Maximum Fit;52.1126271566993;50.9603324863497;48.4190381774939;33.8344583697988
24. Juni 2021;Minimum FIT;40.1442405367005;41.669546201484;36.1640021626746;26.773233817454
1. Juli 2021;FIT;42.0662541185025;50.953183748022;45.1117761159625;32.3255103220125
1. Juli 2021;Maximum Fit;52.1126271566993;50.9603324863497;48.4190381774939;33.8344583697988
1. Juli 2021;Minimum FIT;40.1442405367005;41.669546201484;36.1640021626746;26.773233817454
8. Juli 2021;FIT;41.9402404979288;50.9363741226392;44.8813754938357;32.2271957367977
8. Juli 2021;Maximum Fit;52.1126271566993;50.9603324863497;48.4190381774939;33.8344583697988
8. Juli 2021;Minimum FIT;40.1442405367005;41.669546201484;36.1640021626746;26.773233817454
15. Juli 2021;FIT;41.8906515316129;50.9094585793124;44.6493399827187;32.1293286201073
15. Juli 2021;Maximum Fit;52.1126271566993;50.9603324863497;48.4190381774939;33.8344583697988
15. Juli 2021;Minimum FIT;40.1442405367005;41.669546201484;36.1640021626746;26.773233817454
22. Juli 2021;FIT;41.9173150625177;50.8721874358737;44.4158112042777;32.0319370110699
22. Juli 2021;Maximum Fit;52.1126271566993;50.9603324863497;48.4190381774939;33.8344583697988
22. Juli 2021;Minimum FIT;40.1442405367005;41.669546201484;36.1640021626746;26.773233817454
29. Juli 2021;FIT;42.0192222260418;50.8245007945699;44.1810252954298;31.9350482954683
29. Juli 2021;Maximum Fit;52.1126271566993;50.9603324863497;48.4190381774939;33.8344583697988
29. Juli 2021;Minimum FIT;40.1442405367005;41.669546201484;36.1640021626746;26.773233817454
5. August 2021;FIT;42.1946386882673;50.7665196814215;43.9453064842933;31.8386890713982
5. August 2021;Maximum Fit;52.1126271566993;50.9603324863497;48.4190381774939;33.8344583697988
5. August 2021;Minimum FIT;40.1442405367005;41.669546201484;36.1640021626746;26.773233817454
12. August 2021;FIT;42.4411491361754;50.6985342993665;43.7090585798914;31.7428850413217
12. August 2021;Maximum Fit;52.1126271566993;50.9603324863497;48.4190381774939;33.8344583697988
12. August 2021;Minimum FIT;40.1442405367005;41.669546201484;36.1640021626746;26.773233817454
19. August 2021;FIT;42.7556441326283;50.6209897307038;43.4727546029862;31.6476609293298
19. August 2021;Maximum Fit;52.1126271566993;50.9603324863497;48.4190381774939;33.8344583697988
19. August 2021;Minimum FIT;40.1442405367005;41.669546201484;36.1640021626746;26.773233817454
26. August 2021;FIT;43.1342648276505;50.5344693520014;43.2369248738264;31.5530404220848
26. August 2021;Maximum Fit;52.1126271566993;50.9603324863497;48.4190381774939;33.8344583697988
26. August 2021;Minimum FIT;40.1442405367005;41.669546201484;36.1640021626746;26.773233817454
2. September 2021;FIT;43.5723248872137;50.4396761728174;43.0021439497852;31.4590461316034
2. September 2021;Maximum Fit;52.1126271566993;50.9603324863497;48.4190381774939;33.8344583697988
2. September 2021;Minimum FIT;40.1442405367005;41.669546201484;36.1640021626746;26.773233817454
9. September 2021;FIT;44.064230385462;50.3374122899902;42.7690168645588;31.3656995777798
9. September 2021;Maximum Fit;52.1126271566993;50.9603324863497;48.4190381774939;33.8344583697988
9. September 2021;Minimum FIT;40.1442405367005;41.669546201484;36.1640021626746;26.773233817454
16. September 2021;FIT;44.6034175011909;50.228556666293;42.5381651545588;31.2730211883333
16. September 2021;Maximum Fit;52.1126271566993;50.9603324863497;48.4190381774939;33.8344583697988
16. September 2021;Minimum FIT;40.1442405367005;41.669546201484;36.1640021626746;26.773233817454
