Tabelle: 21111-0004
Absolventen und Abgänger: Deutschland, Schuljahr,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Geschlecht, Schulart, Schulabschlüsse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Statistik der allgemeinbildenden Schulen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Absolventen und Abgänger (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Schuljahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1997/98;;;;;;1998/99;;;;;;1999/00;;;;;;2000/01;;;;;;2001/02;;;;;;2002/03;;;;;;2003/04;;;;;;2004/05;;;;;;2005/06;;;;;;2006/07;;;;;;2007/08;;;;;;2008/09;;;;;;2009/10;;;;;;2010/11;;;;;;2011/12;;;;;;2012/13;;;;;;2013/14;;;;;;2014/15;;;;;;2015/16;;;;;;2016/17;;;;;;2017/18;;;;;;2018/19;;;;;;2019/20;;;;;;2020/21;;;;;;2021/22;;;;;;2022/23;;;;;
;;Geschlecht;;;;;;Geschlecht;;;;;;Geschlecht;;;;;;Geschlecht;;;;;;Geschlecht;;;;;;Geschlecht;;;;;;Geschlecht;;;;;;Geschlecht;;;;;;Geschlecht;;;;;;Geschlecht;;;;;;Geschlecht;;;;;;Geschlecht;;;;;;Geschlecht;;;;;;Geschlecht;;;;;;Geschlecht;;;;;;Geschlecht;;;;;;Geschlecht;;;;;;Geschlecht;;;;;;Geschlecht;;;;;;Geschlecht;;;;;;Geschlecht;;;;;;Geschlecht;;;;;;Geschlecht;;;;;;Geschlecht;;;;;;Geschlecht;;;;;;Geschlecht;;;;;
;;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;
Hauptschulen;Ohne Ersten Schulabschluss;20162;e;10492;e;30654;e;19006;e;10196;e;29202;e;19683;e;10321;e;30004;e;20265;e;11191;e;31456;e;18454;e;10420;e;28874;e;17489;e;9925;e;27414;e;16918;e;9148;e;26066;e;15692;e;8543;e;24235;e;14031;e;7862;e;21893;e;12358;e;7122;e;19480;e;10685;e;6491;e;17176;e;8826;e;5749;e;14575;e;8261;e;5113;e;13374;e;6988;e;4545;e;11533;e;6638;e;4393;e;11031;e;5930;e;3845;e;9775;e;5672;e;3753;e;9425;e;5352;e;3259;e;8611;e;6316;e;3490;e;9806;e;6454;e;3611;e;10065;e;5895;e;3333;e;9228;e;5289;e;2991;e;8283;e;3702;e;2358;e;6060;e;4086;e;2490;e;6576;e;4251;e;2688;e;6934;e;4388;e;2692;e;7085;e
;Erster Schulabschluss;96724;e;74091;e;170815;e;95258;e;72025;e;167283;e;91863;e;69995;e;161858;e;92723;e;70689;e;163412;e;92696;e;70487;e;163183;e;94815;e;72230;e;167045;e;95937;e;72646;e;168583;e;93045;e;70645;e;163690;e;90936;e;68660;e;159596;e;88763;e;67400;e;156163;e;81287;e;61624;e;142911;e;73269;e;55147;e;128416;e;66891;e;49465;e;116356;e;59383;e;43990;e;103373;e;53177;e;38656;e;91833;e;49065;e;35626;e;84691;e;44987;e;31931;e;76918;e;43084;e;29794;e;72878;e;40936;e;28645;e;69581;e;35483;e;24498;e;59981;e;32262;e;21369;e;53634;e;28101;e;19023;e;47121;e;24462;e;16569;e;41028;e;22784;e;15130;e;37914;e;22338;e;15243;e;37581;e;22312;e;15453;e;37765;e
;Mittlerer Schulabschluss;18557;e;18373;e;36930;e;17858;e;18180;e;36038;e;17706;e;17289;e;34995;e;18368;e;17681;e;36049;e;18887;e;18137;e;37024;e;21170;e;20138;e;41308;e;23533;e;22444;e;45977;e;24898;e;23145;e;48043;e;25047;e;23152;e;48199;e;24950;e;22376;e;47326;e;24221;e;22010;e;46231;e;23416;e;21545;e;44961;e;22318;e;19835;e;42153;e;21902;e;19333;e;41235;e;20875;e;18385;e;39260;e;24638;e;21427;e;46065;e;23818;e;20146;e;43964;e;23638;e;19722;e;43360;e;22328;e;18696;e;41024;e;20133;e;16571;e;36704;e;17085;e;14532;e;31617;e;14931;e;13140;e;28071;e;13434;e;11865;e;25299;e;12700;e;11340;e;24045;e;12292;e;11126;e;23423;e;12236;e;10752;e;22983;e
;Fachhochschulreife;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Allgemeine Hochschulreife;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Insgesamt;135443;e;102956;e;238399;e;132122;e;100401;e;232523;e;129252;e;97605;e;226857;e;131356;e;99561;e;230917;e;130037;e;99044;e;229081;e;133474;e;102293;e;235767;e;136388;e;104238;e;240626;e;133635;e;102333;e;235968;e;130014;e;99674;e;229688;e;126071;e;96898;e;222969;e;116193;e;90125;e;206318;e;105511;e;82441;e;187952;e;97470;e;74413;e;171883;e;88273;e;67868;e;156141;e;80690;e;61434;e;142124;e;79633;e;60898;e;140531;e;74477;e;55830;e;130307;e;72074;e;52775;e;124849;e;69580;e;50831;e;120411;e;62070;e;44680;e;106750;e;55242;e;39234;e;94479;e;48321;e;35154;e;83475;e;41598;e;30792;e;72390;e;39570;e;28960;e;68530;e;38881;e;29057;e;67938;e;38936;e;28897;e;67833;e
