Tabelle: 21311-0010
Studienanfänger: Deutschland, Semester, Nationalität,;;;;;;;;;
Geschlecht;;;;;;;;;
Statistik der Studenten;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;
Studienanfänger (Anzahl);;;;;;;;;;;;;;;;;;
;Deutsche;;;;;;Ausländer;;;;;;Insgesamt;;;;;
;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;
WS 1998/99;102924;e;94548;e;197472;e;15696;e;17502;e;33198;e;118620;e;112050;e;230670;e
WS 1999/00;107213;e;102210;e;209423;e;17661;e;19234;e;36895;e;124874;e;121444;e;246318;e
WS 2000/01;116997;e;109541;e;226538;e;19446;e;21311;e;40757;e;136443;e;130852;e;267295;e
WS 2001/02;127202;e;118391;e;245593;e;22269;e;24694;e;46963;e;149471;e;143085;e;292556;e
WS 2002/03;124201;e;125852;e;250053;e;23879;e;25717;e;49596;e;148080;e;151569;e;299649;e
WS 2003/04;140544;e;124771;e;265315;e;24596;e;26745;e;51341;e;165140;e;151516;e;316656;e
WS 2004/05;131033;e;120618;e;251651;e;23628;e;25514;e;49142;e;154661;e;146132;e;300793;e
WS 2005/06;130815;e;121184;e;251999;e;22823;e;25017;e;47840;e;153638;e;146201;e;299839;e
WS 2006/07;126408;e;120634;e;247042;e;22664;e;25240;e;47904;e;149072;e;145874;e;294946;e
WS 2007/08;134801;e;130375;e;265176;e;22457;e;25907;e;48364;e;157258;e;156282;e;313540;e
WS 2008/09;149455;e;143495;e;292950;e;24845;e;27830;e;52675;e;174300;e;171325;e;345625;e
WS 2009/10;158906;e;154396;e;313302;e;26291;e;29680;e;55971;e;185197;e;184076;e;369273;e
WS 2010/11;166713;e;159694;e;326407;e;28878;e;31636;e;60514;e;195591;e;191330;e;386921;e
WS 2011/12;205921;e;172735;e;378656;e;31785;e;34879;e;66664;e;237706;e;207614;e;445320;e
WS 2012/13;182374;e;173052;e;355426;e;34715;e;37684;e;72399;e;217089;e;210736;e;427825;e
WS 2013/14;184181;e;177702;e;361883;e;37589;e;39441;e;77030;e;221770;e;217143;e;438913;e
WS 2014/15;177377;e;173150;e;350527;e;39712;e;42041;e;81753;e;217089;e;215191;e;432280;e
WS 2015/16;174809;e;172663;e;347472;e;41698;e;43419;e;85117;e;216507;e;216082;e;432589;e
WS 2016/17;173250;e;174890;e;348140;e;43218;e;44069;e;87287;e;216468;e;218959;e;435427;e
WS 2017/18;170784;e;177137;e;347921;e;45216;e;44600;e;89816;e;216000;e;221737;e;437737;e
WS 2018/19;165434;e;178237;e;343671;e;47248;e;44812;e;92060;e;212682;e;223049;e;435731;e
WS 2019/20;160920;e;176961;e;337881;e;46713;e;44455;e;91168;e;207633;e;221416;e;429049;e
WS 2020/21;160266;e;182614;e;342880;e;39648;e;36169;e;75817;e;199914;e;218783;e;418697;e
WS 2021/22;146451;e;163248;e;309699;e;43476;e;42670;e;86146;e;189927;e;205918;e;395845;e
WS 2022/23;143215;e;162077;e;305292;e;47570;e;45382;e;92952;e;190785;e;207459;e;398244;e
WS 2023/24;143886;e;164995;e;308881;e;49082;e;46837;e;95919;e;192968;e;211832;e;404800;e
WS 2024/25;141316;e;164847;e;306163;e;54889;e;50072;e;104961;e;196205;e;214919;e;411124;e
__________
© Statistisches Bundesamt (Destatis), 2025
Stand: 26.09.2025 / 20:49:19
