Tabelle: 21311-0001
Studierende: Deutschland, Semester, Nationalität,;;;;;;;;;
Geschlecht;;;;;;;;;
Statistik der Studenten;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;
Studierende (Anzahl);;;;;;;;;;;;;;;;;;
;Deutsche;;;;;;Ausländer;;;;;;Insgesamt;;;;;
;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;;männlich;;weiblich;;Insgesamt;
WS 1998/99;907403;e;727254;e;1634657;e;92321;e;73673;e;165994;e;999724;e;800927;e;1800651;e
WS 1999/00;872178;e;723246;e;1595424;e;95460;e;79605;e;175065;e;967638;e;802851;e;1770489;e
WS 2000/01;870016;e;741820;e;1611836;e;99906;e;87121;e;187027;e;969922;e;828941;e;1798863;e
WS 2001/02;887462;e;774628;e;1662090;e;107831;e;98410;e;206241;e;995293;e;873038;e;1868331;e
WS 2002/03;903218;e;808567;e;1711785;e;117205;e;109821;e;227026;e;1020423;e;918388;e;1938811;e
WS 2003/04;935718;e;837611;e;1773329;e;125826;e;120310;e;246136;e;1061544;e;957921;e;2019465;e
WS 2004/05;901979;e;814795;e;1716774;e;124220;e;122114;e;246334;e;1026199;e;936909;e;1963108;e
WS 2005/06;912696;e;824712;e;1737408;e;124447;e;123910;e;248357;e;1037143;e;948622;e;1985765;e
WS 2006/07;909740;e;822934;e;1732674;e;122923;e;123446;e;246369;e;1032663;e;946380;e;1979043;e
WS 2007/08;898061;e;809738;e;1707799;e;116700;e;116906;e;233606;e;1014761;e;926644;e;1941405;e
WS 2008/09;938552;e;847612;e;1786164;e;119254;e;119889;e;239143;e;1057806;e;967501;e;2025307;e
WS 2009/10;984097;e;892306;e;1876403;e;122353;e;122422;e;244775;e;1106450;e;1014728;e;2121178;e
WS 2010/11;1031086;e;934176;e;1965262;e;126399;e;125633;e;252032;e;1157485;e;1059809;e;2217294;e
WS 2011/12;1122200;e;993482;e;2115682;e;133172;e;132120;e;265292;e;1255372;e;1125602;e;2380974;e
WS 2012/13;1171894;e;1045314;e;2217208;e;142123;e;140078;e;282201;e;1314017;e;1185392;e;2499409;e
WS 2013/14;1218965;e;1096566;e;2315531;e;152675;e;148675;e;301350;e;1371640;e;1245241;e;2616881;e
WS 2014/15;1245029;e;1132312;e;2377341;e;163505;e;158064;e;321569;e;1408534;e;1290376;e;2698910;e
WS 2015/16;1260203;e;1157291;e;2417494;e;173923;e;166382;e;340305;e;1434126;e;1323673;e;2757799;e
WS 2016/17;1269166;e;1178949;e;2448115;e;184459;e;174436;e;358895;e;1453625;e;1353385;e;2807010;e
WS 2017/18;1270098;e;1200297;e;2470395;e;194545;e;180038;e;374583;e;1464643;e;1380335;e;2844978;e
WS 2018/19;1258281;e;1215276;e;2473557;e;207697;e;186968;e;394665;e;1465978;e;1402244;e;2868222;e
WS 2019/20;1246852;e;1232596;e;2479448;e;218015;e;193586;e;411601;e;1464867;e;1426182;e;2891049;e
WS 2020/21;1253399;e;1274309;e;2527708;e;222967;e;193470;e;416437;e;1476366;e;1467779;e;2944145;e
WS 2021/22;1231256;e;1270095;e;2501351;e;235026;e;205538;e;440564;e;1466282;e;1475633;e;2941915;e
WS 2022/23;1199632;e;1262421;e;2462053;e;244493;e;213717;e;458210;e;1444125;e;1476138;e;2920263;e
WS 2023/24;1156996;e;1241830;e;2398826;e;250834;e;218651;e;469485;e;1407830;e;1460481;e;2868311;e
WS 2024/25;1134214;e;1237821;e;2372035;e;264417;e;227670;e;492087;e;1398631;e;1465491;e;2864122;e
__________
© Statistisches Bundesamt (Destatis), 2025
Stand: 26.09.2025 / 20:39:32
