Tag von Date;Cat Value - Aliasse;Category;Fit;Maximum (Fit);Minimum (Fit);Tooltip_Cat_Value;Tooltip_Category;Fit
18. März 2021;total;gesamt;5,830710769;14,79;5,83;;the total population;5,830710769
25. März 2021;total;gesamt;5,893849478;14,79;5,83;;the total population;5,893849478
1. April 2021;total;gesamt;5,958569763;14,79;5,83;;the total population;5,958569763
8. April 2021;total;gesamt;6,024920358;14,79;5,83;;the total population;6,024920358
15. April 2021;total;gesamt;6,092945676;14,79;5,83;;the total population;6,092945676
22. April 2021;total;gesamt;6,162686242;14,79;5,83;;the total population;6,162686242
29. April 2021;total;gesamt;6,234181578;14,79;5,83;;the total population;6,234181578
6. Mai 2021;total;gesamt;6,307473930;14,79;5,83;;the total population;6,307473930
13. Mai 2021;total;gesamt;6,382619106;14,79;5,83;;the total population;6,382619106
20. Mai 2021;total;gesamt;6,459711936;14,79;5,83;;the total population;6,459711936
27. Mai 2021;total;gesamt;6,538939356;14,79;5,83;;the total population;6,538939356
3. Juni 2021;total;gesamt;6,620683353;14,79;5,83;;the total population;6,620683353
10. Juni 2021;total;gesamt;6,705697394;14,79;5,83;;the total population;6,705697394
17. Juni 2021;total;gesamt;6,795366541;14,79;5,83;;the total population;6,795366541
24. Juni 2021;total;gesamt;6,892005726;14,79;5,83;;the total population;6,892005726
1. Juli 2021;total;gesamt;6,999026672;14,79;5,83;;the total population;6,999026672
8. Juli 2021;total;gesamt;7,120642573;14,79;5,83;;the total population;7,120642573
15. Juli 2021;total;gesamt;7,260785274;14,79;5,83;;the total population;7,260785274
22. Juli 2021;total;gesamt;7,421238225;14,79;5,83;;the total population;7,421238225
29. Juli 2021;total;gesamt;7,599761918;14,79;5,83;;the total population;7,599761918
5. August 2021;total;gesamt;7,789534093;14,79;5,83;;the total population;7,789534093
12. August 2021;total;gesamt;7,980631372;14,79;5,83;;the total population;7,980631372
19. August 2021;total;gesamt;8,162789394;14,79;5,83;;the total population;8,162789394
26. August 2021;total;gesamt;8,327837263;14,79;5,83;;the total population;8,327837263
2. September 2021;total;gesamt;8,470806237;14,79;5,83;;the total population;8,470806237
9. September 2021;total;gesamt;8,589834352;14,79;5,83;;the total population;8,589834352
16. September 2021;total;gesamt;8,685525297;14,79;5,83;;the total population;8,685525297
23. September 2021;total;gesamt;8,760283295;14,79;5,83;;the total population;8,760283295
30. September 2021;total;gesamt;8,817798415;14,79;5,83;;the total population;8,817798415
7. Oktober 2021;total;gesamt;8,862622468;14,79;5,83;;the total population;8,862622468
14. Oktober 2021;total;gesamt;8,899721359;14,79;5,83;;the total population;8,899721359
21. Oktober 2021;total;gesamt;8,933960994;14,79;5,83;;the total population;8,933960994
28. Oktober 2021;total;gesamt;8,969592158;14,79;5,83;;the total population;8,969592158
4. November 2021;total;gesamt;9,009860645;14,79;5,83;;the total population;9,009860645
11. November 2021;total;gesamt;9,056841718;14,79;5,83;;the total population;9,056841718
18. November 2021;total;gesamt;9,111510099;14,79;5,83;;the total population;9,111510099
25. November 2021;total;gesamt;9,173973634;14,79;5,83;;the total population;9,173973634
2. Dezember 2021;total;gesamt;9,243766881;14,79;5,83;;the total population;9,243766881
9. Dezember 2021;total;gesamt;9,320119960;14,79;5,83;;the total population;9,320119960
16. Dezember 2021;total;gesamt;9,402159242;14,79;5,83;;the total population;9,402159242
23. Dezember 2021;total;gesamt;9,489032790;14,79;5,83;;the total population;9,489032790
30. Dezember 2021;total;gesamt;9,579973872;14,79;5,83;;the total population;9,579973872
6. Januar 2022;total;gesamt;9,674321758;14,79;5,83;;the total population;9,674321758
13. Januar 2022;total;gesamt;9,771530311;14,79;5,83;;the total population;9,771530311
20. Januar 2022;total;gesamt;9,871200734;14,79;5,83;;the total population;9,871200734
27. Januar 2022;total;gesamt;9,973069301;14,79;5,83;;the total population;9,973069301
3. Februar 2022;total;gesamt;10,076995467;14,79;5,83;;the total population;10,076995467
10. Februar 2022;total;gesamt;10,182965447;14,79;5,83;;the total population;10,182965447
17. Februar 2022;total;gesamt;10,291101096;14,79;5,83;;the total population;10,291101096
24. Februar 2022;total;gesamt;10,401646530;14,79;5,83;;the total population;10,401646530
3. März 2022;total;gesamt;10,514977095;14,79;5,83;;the total population;10,514977095
10. März 2022;total;gesamt;10,631604650;14,79;5,83;;the total population;10,631604650
17. März 2022;total;gesamt;10,752160862;14,79;5,83;;the total population;10,752160862
24. März 2022;total;gesamt;10,877348007;14,79;5,83;;the total population;10,877348007
31. März 2022;total;gesamt;11,007847562;14,79;5,83;;the total population;11,007847562
7. April 2022;total;gesamt;11,144183026;14,79;5,83;;the total population;11,144183026
14. April 2022;total;gesamt;11,286546760;14,79;5,83;;the total population;11,286546760
21. April 2022;total;gesamt;11,434619982;14,79;5,83;;the total population;11,434619982
28. April 2022;total;gesamt;11,587433782;14,79;5,83;;the total population;11,587433782
5. Mai 2022;total;gesamt;11,743325166;14,79;5,83;;the total population;11,743325166
12. Mai 2022;total;gesamt;11,900024977;14,79;5,83;;the total population;11,900024977
19. Mai 2022;total;gesamt;12,054874385;14,79;5,83;;the total population;12,054874385
26. Mai 2022;total;gesamt;12,205120195;14,79;5,83;;the total population;12,205120195
2. Juni 2022;total;gesamt;12,348211430;14,79;5,83;;the total population;12,348211430
9. Juni 2022;total;gesamt;12,482025629;14,79;5,83;;the total population;12,482025629
16. Juni 2022;total;gesamt;12,604987557;14,79;5,83;;the total population;12,604987557
23. Juni 2022;total;gesamt;12,716084605;14,79;5,83;;the total population;12,716084605
30. Juni 2022;total;gesamt;12,814812372;14,79;5,83;;the total population;12,814812372
7. Juli 2022;total;gesamt;12,901092827;14,79;5,83;;the total population;12,901092827
