Tag von Date;Cat Value - Aliasse;Category;Fit;Maximum (Fit);Minimum (Fit);Tooltip_Cat_Value;Tooltip_Category;Fit
4. April 2019;total;gesamt;10,070940170;20,63;10,07;;the total population;10,070940170
11. April 2019;total;gesamt;10,101625531;20,63;10,07;;the total population;10,101625531
18. April 2019;total;gesamt;10,133959479;20,63;10,07;;the total population;10,133959479
25. April 2019;total;gesamt;10,167892380;20,63;10,07;;the total population;10,167892380
2. Mai 2019;total;gesamt;10,203340744;20,63;10,07;;the total population;10,203340744
9. Mai 2019;total;gesamt;10,240188007;20,63;10,07;;the total population;10,240188007
16. Mai 2019;total;gesamt;10,278285589;20,63;10,07;;the total population;10,278285589
23. Mai 2019;total;gesamt;10,317454310;20,63;10,07;;the total population;10,317454310
30. Mai 2019;total;gesamt;10,357486201;20,63;10,07;;the total population;10,357486201
6. Juni 2019;total;gesamt;10,398146780;20,63;10,07;;the total population;10,398146780
13. Juni 2019;total;gesamt;10,439177794;20,63;10,07;;the total population;10,439177794
20. Juni 2019;total;gesamt;10,480300468;20,63;10,07;;the total population;10,480300468
27. Juni 2019;total;gesamt;10,521219216;20,63;10,07;;the total population;10,521219216
4. Juli 2019;total;gesamt;10,561625794;20,63;10,07;;the total population;10,561625794
11. Juli 2019;total;gesamt;10,601203818;20,63;10,07;;the total population;10,601203818
18. Juli 2019;total;gesamt;10,639633574;20,63;10,07;;the total population;10,639633574
25. Juli 2019;total;gesamt;10,676597011;20,63;10,07;;the total population;10,676597011
1. August 2019;total;gesamt;10,711782807;20,63;10,07;;the total population;10,711782807
8. August 2019;total;gesamt;10,744891392;20,63;10,07;;the total population;10,744891392
15. August 2019;total;gesamt;10,775639797;20,63;10,07;;the total population;10,775639797
22. August 2019;total;gesamt;10,803766240;20,63;10,07;;the total population;10,803766240
29. August 2019;total;gesamt;10,829034312;20,63;10,07;;the total population;10,829034312
5. September 2019;total;gesamt;10,851236701;20,63;10,07;;the total population;10,851236701
12. September 2019;total;gesamt;10,870198365;20,63;10,07;;the total population;10,870198365
19. September 2019;total;gesamt;10,885779104;20,63;10,07;;the total population;10,885779104
26. September 2019;total;gesamt;10,897875479;20,63;10,07;;the total population;10,897875479
3. Oktober 2019;total;gesamt;10,906422078;20,63;10,07;;the total population;10,906422078
10. Oktober 2019;total;gesamt;10,911392098;20,63;10,07;;the total population;10,911392098
17. Oktober 2019;total;gesamt;10,912797276;20,63;10,07;;the total population;10,912797276
24. Oktober 2019;total;gesamt;10,910687176;20,63;10,07;;the total population;10,910687176
31. Oktober 2019;total;gesamt;10,905147877;20,63;10,07;;the total population;10,905147877
7. November 2019;total;gesamt;10,896300122;20,63;10,07;;the total population;10,896300122
14. November 2019;total;gesamt;10,884296965;20,63;10,07;;the total population;10,884296965
21. November 2019;total;gesamt;10,869321012;20,63;10,07;;the total population;10,869321012
28. November 2019;total;gesamt;10,851581324;20,63;10,07;;the total population;10,851581324
5. Dezember 2019;total;gesamt;10,831310078;20,63;10,07;;the total population;10,831310078
12. Dezember 2019;total;gesamt;10,808759060;20,63;10,07;;the total population;10,808759060
19. Dezember 2019;total;gesamt;10,784196109;20,63;10,07;;the total population;10,784196109
26. Dezember 2019;total;gesamt;10,757901588;20,63;10,07;;the total population;10,757901588
2. Januar 2020;total;gesamt;10,730162782;20,63;10,07;;the total population;10,730162782
9. Januar 2020;total;gesamt;10,701264260;20,63;10,07;;the total population;10,701264260
16. Januar 2020;total;gesamt;10,671491699;20,63;10,07;;the total population;10,671491699
23. Januar 2020;total;gesamt;10,641131491;20,63;10,07;;the total population;10,641131491
30. Januar 2020;total;gesamt;10,610468456;20,63;10,07;;the total population;10,610468456
6. Februar 2020;total;gesamt;10,579783895;20,63;10,07;;the total population;10,579783895
13. Februar 2020;total;gesamt;10,549353965;20,63;10,07;;the total population;10,549353965
20. Februar 2020;total;gesamt;10,519448366;20,63;10,07;;the total population;10,519448366
27. Februar 2020;total;gesamt;10,490329302;20,63;10,07;;the total population;10,490329302
5. März 2020;total;gesamt;10,462250679;20,63;10,07;;the total population;10,462250679
12. März 2020;total;gesamt;10,435457475;20,63;10,07;;the total population;10,435457475
19. März 2020;total;gesamt;10,410185250;20,63;10,07;;the total population;10,410185250
26. März 2020;total;gesamt;10,386659729;20,63;10,07;;the total population;10,386659729
2. April 2020;total;gesamt;10,365096422;20,63;10,07;;the total population;10,365096422
9. April 2020;total;gesamt;10,345700225;20,63;10,07;;the total population;10,345700225
16. April 2020;total;gesamt;10,328664990;20,63;10,07;;the total population;10,328664990
23. April 2020;total;gesamt;10,314173027;20,63;10,07;;the total population;10,314173027
30. April 2020;total;gesamt;10,302394529;20,63;10,07;;the total population;10,302394529
7. Mai 2020;total;gesamt;10,293486919;20,63;10,07;;the total population;10,293486919
14. Mai 2020;total;gesamt;10,287594118;20,63;10,07;;the total population;10,287594118
