Tag von Date;Cat Value - Aliasse;Category;Fit;Maximum (Fit);Minimum (Fit);Tooltip_Cat_Value;Tooltip_Category;Fit
18. März 2021;total;gesamt;45,612706413;45,61;36,49;;the total population;45,612706413
25. März 2021;total;gesamt;45,392139876;45,61;36,49;;the total population;45,392139876
1. April 2021;total;gesamt;45,170348142;45,61;36,49;;the total population;45,170348142
8. April 2021;total;gesamt;44,948452972;45,61;36,49;;the total population;44,948452972
15. April 2021;total;gesamt;44,727753189;45,61;36,49;;the total population;44,727753189
22. April 2021;total;gesamt;44,509629994;45,61;36,49;;the total population;44,509629994
29. April 2021;total;gesamt;44,295417398;45,61;36,49;;the total population;44,295417398
6. Mai 2021;total;gesamt;44,086364862;45,61;36,49;;the total population;44,086364862
13. Mai 2021;total;gesamt;43,883581921;45,61;36,49;;the total population;43,883581921
20. Mai 2021;total;gesamt;43,687993275;45,61;36,49;;the total population;43,687993275
27. Mai 2021;total;gesamt;43,500342166;45,61;36,49;;the total population;43,500342166
3. Juni 2021;total;gesamt;43,321203067;45,61;36,49;;the total population;43,321203067
10. Juni 2021;total;gesamt;43,151002763;45,61;36,49;;the total population;43,151002763
17. Juni 2021;total;gesamt;42,990050539;45,61;36,49;;the total population;42,990050539
24. Juni 2021;total;gesamt;42,838574664;45,61;36,49;;the total population;42,838574664
1. Juli 2021;total;gesamt;42,696762621;45,61;36,49;;the total population;42,696762621
8. Juli 2021;total;gesamt;42,564774542;45,61;36,49;;the total population;42,564774542
15. Juli 2021;total;gesamt;42,442672461;45,61;36,49;;the total population;42,442672461
22. Juli 2021;total;gesamt;42,330429816;45,61;36,49;;the total population;42,330429816
29. Juli 2021;total;gesamt;42,227958101;45,61;36,49;;the total population;42,227958101
5. August 2021;total;gesamt;42,135120919;45,61;36,49;;the total population;42,135120919
12. August 2021;total;gesamt;42,051735623;45,61;36,49;;the total population;42,051735623
19. August 2021;total;gesamt;41,977564195;45,61;36,49;;the total population;41,977564195
26. August 2021;total;gesamt;41,912296110;45,61;36,49;;the total population;41,912296110
2. September 2021;total;gesamt;41,855526558;45,61;36,49;;the total population;41,855526558
9. September 2021;total;gesamt;41,806733665;45,61;36,49;;the total population;41,806733665
16. September 2021;total;gesamt;41,765258207;45,61;36,49;;the total population;41,765258207
23. September 2021;total;gesamt;41,730288873;45,61;36,49;;the total population;41,730288873
30. September 2021;total;gesamt;41,700855493;45,61;36,49;;the total population;41,700855493
7. Oktober 2021;total;gesamt;41,675831896;45,61;36,49;;the total population;41,675831896
14. Oktober 2021;total;gesamt;41,653949307;45,61;36,49;;the total population;41,653949307
21. Oktober 2021;total;gesamt;41,633820429;45,61;36,49;;the total population;41,633820429
28. Oktober 2021;total;gesamt;41,613973534;45,61;36,49;;the total population;41,613973534
4. November 2021;total;gesamt;41,592895093;45,61;36,49;;the total population;41,592895093
11. November 2021;total;gesamt;41,569078771;45,61;36,49;;the total population;41,569078771
18. November 2021;total;gesamt;41,541078056;45,61;36,49;;the total population;41,541078056
